Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SWZ,48526.60546875,53061.28515625,47874.6484375,45453.51953125,43660.03515625,38747.30859375,34318.2734375,31260.453125,31811.658203125,31638.859375
SYR,397627.6875,412067.71875,414588.78125,412085.65625,415161.375,409389.375,405732.09375,404017.28125,404443.46875,407660.3125
TCD,39623.6796875,44179.77734375,41049.9453125,39674.2265625,48228.3125,49935.73046875,59662.515625,45017.234375,45990.40625,47048.18359375
TGO,39013.95703125,44013.87109375,41973.4921875,42321.71875,42508.21484375,43716.6640625,43350.65625,44691.953125,46150.6796875,47682.109375
THA,4826366.0,5139581.5,5215776.5,5297230.5,5367139.0,5460709.0,5411433.5,5492121.5,5555844.0,5630091.0
TJK,242044.375,272940.34375,286661.6875,293210.6875,532515.1875,323714.09375,339823.78125,359015.96875,357354.65625,357036.71875
TKM,342621.84375,377651.75,408794.34375,448706.53125,495112.46875,532055.375,571817.0,614657.75,658779.5,703502.75
TTO,162481.796875,177479.953125,140549.03125,81455.4296875,74165.5625,94797.34375,85601.875,74526.8203125,76976.578125,78186.5859375
TUN,656896.1875,714156.1875,642909.125,566336.4375,497870.03125,439830.1875,384156.8125,340799.0,346211.0625,351555.28125
TUR,5028124.0,5209663.0,6185293.5,6979871.0,8251150.0,8913575.0,9337856.0,9267063.0,9820866.0,10235724.0
TWN,4088598.5,4309665.5,4257215.0,4259246.5,4259364.0,4192868.75,4114637.5,4109507.25,4170915.75,4258740.0
TZA,492416.625,580579.9375,500709.90625,442747.03125,404925.65625,379280.125,346519.96875,318138.90625,354748.84375,397482.6875
UGA,208795.765625,246805.78125,230774.625,216088.09375,204043.6875,186337.078125,172151.078125,158918.359375,170159.203125,182602.96875
UKR,2507857.25,2478182.25,2965044.0,3490555.5,4043566.75,4875920.0,5774449.5,7039307.0,7091753.5,7085837.5
URY,242504.078125,261827.5,269012.03125,277738.96875,282334.75,292663.15625,299146.90625,313841.28125,315459.28125,318946.03125
USA,61054648.0,61672612.0,62435580.0,63232880.0,64124200.0,65057788.0,65974044.0,66942704.0,68007384.0,69059088.0
UZB,482233.28125,526183.8125,572227.8125,627691.0,695659.625,756616.75,819613.125,899096.375,1008323.875,1162961.25
VCT,7672.583984375,8543.19921875,8494.56640625,8537.05859375,8011.6875,8561.6591796875,8303.4453125,8906.080078125,9096.08984375,9191.970703125
VEN,2506444.5,2741270.5,2743113.75,2543152.75,1803541.125,1761539.375,622800.5625,230657.359375,224248.515625,217905.09375
VNM,1161342.0,1220712.375,1270884.375,1321143.125,1392460.5,1479631.125,1559861.5,1693455.375,1833390.375,2009263.375
YEM,235899.5,218353.859375,166384.5,169212.84375,169380.03125,768517.3125,901722.25,537806.5,541075.125,548553.3125
ZAF,2367531.25,2596087.25,2610133.0,2668322.75,2727571.5,2753442.0,2773613.5,2791243.75,2846327.75,2897706.0
ZMB,258780.984375,305255.53125,277846.3125,267679.90625,265958.90625,263845.9375,280310.75,275619.03125,289038.21875,303724.1875
ZWE,70862.25,70500.796875,54658.9765625,59488.94140625,57715.58203125,61790.62890625,64844.19140625,67627.5625,68826.7734375,69588.2421875
