Country Code,Diabetes mellitus
AFG,5.556707448169057
AGO,12.91909908079508
ALB,33.55389769160573
AND,227.8827123204793
ARE,177.29491642638658
ARG,85.3419760076956
ARM,87.90304573858349
ATG,103.2935677415779
AUS,359.2463534317258
AUT,496.3764108623071
AZE,27.99707785327527
BDI,1.6592313041705533
BEL,504.4568074039563
BEN,3.612327439955462
BFA,3.6931375458166213
BGD,3.271177482824336
BGR,179.44484709358392
BHR,177.8370817659978
BHS,219.31942564486147
BIH,140.44866791432202
BLR,45.23512902078489
BLZ,42.40041583163106
BOL,34.90393711875349
BRA,161.2434851861596
BRB,132.10653129955952
BRN,97.81977881961146
BTN,8.720593600419974
BWA,85.73437252658846
CAF,8.102100738395452
CAN,317.9890891459457
CHE,1045.7494854574143
CHL,124.78228888585492
CHN,75.88462962322984
CIV,8.206881109473247
CMR,5.610585391161462
COD,2.4837338813186642
COG,8.847086690903172
COK,81.71025456962111
COL,134.63569970137215
COM,4.694027877469256
CPV,39.29453996841299
CRI,235.47862221185136
CUB,342.3449702888468
CYP,237.34230903822777
CZE,341.57253413901253
DEU,872.6465314194255
DJI,6.47554251613864
DMA,173.3745924438418
DNK,542.4486024327907
DOM,61.755285060759775
DZA,60.96994851015383
ECU,114.24599289643959
ERI,2.149692346861294
ESP,320.11710162506256
EST,120.99116151202963
ETH,1.384073649027224
FIN,637.7595209901041
FJI,77.30825512682783
FRA,288.6463144614221
FSM,101.32497485955892
GAB,49.31884567470333
GBR,752.1139624608317
GEO,86.12581536100654
GHA,7.786183931206365
GIN,3.417731530043417
GMB,2.55560790154159
GNB,5.5020662790067245
GNQ,23.774652963634693
GRC,157.09540583814112
GRD,113.39959728619264
GTM,55.17983443902393
GUY,67.98816980203117
HND,44.05582272857414
HRV,128.2842099357174
HTI,14.771617730707897
HUN,155.70433093717546
IDN,12.903709599928355
IND,7.023956793478497
IRL,519.7540173202152
IRN,86.45308993311684
IRQ,49.81831215604281
ISL,566.4893656768326
ISR,284.45722035082
ITA,376.90228356311155
JAM,81.74004513443784
JOR,52.71785652324745
JPN,235.94814561978447
KAZ,49.58312438542209
KEN,7.7199108900752975
KGZ,6.756060164671144
KHM,11.263946668744769
KIR,48.02770297648167
KNA,106.55930742606674
KOR,201.71660606793395
KWT,165.3571263066829
LAO,8.859612415342315
LBN,157.05927169938929
LBR,6.07421663835461
LBY,60.05789235779377
LCA,127.40641113043198
LKA,21.857421813160972
LSO,17.158678053103078
LTU,71.85678960514218
LUX,839.9206197008681
LVA,91.23225729994803
MAR,32.41402715841894
MCO,314.4161943028215
MDA,32.385821523921386
MDG,1.696412517033582
MDV,68.88984937627579
MEX,136.74844396943686
MHL,232.71496131604795
MKD,109.08667656077658
MLI,3.2578031014510316
MLT,334.812225246498
MMR,9.098086417918761
MNG,12.475063471195115
MOZ,4.197719831500511
MRT,4.679113134698993
MUS,87.65718455267293
MWI,3.0691925387617056
MYS,64.25863469880426
NAM,65.9399910652437
NER,1.5553593876840721
NGA,6.856870358570688
NIC,35.56292558307588
NIU,370.68371994415924
NLD,425.6952404079985
NOR,944.6601789064914
NPL,4.7449698001409635
NRU,70.87735894491179
NZL,216.9681057909756
OMN,38.900803239500796
PAK,3.184554515315248
PAN,114.30370958319826
PER,47.35766716099569
PHL,15.112909299112776
PLW,352.03757730792984
PNG,11.658141596215893
POL,95.45612259253988
PRT,295.5630514189336
PRY,60.09527534116135
QAT,202.4122884406662
ROU,65.43030071688807
RUS,79.20146905203345
RWA,4.164900138729689
SAU,132.0763924949543
SDN,6.4218363767967235
SEN,9.242466390065424
SGP,202.34681348496673
SLB,16.818728098880914
SLE,5.706264122250301
SLV,76.25365203462526
SMR,313.85953971757345
SOM,0.32147928521242497
SRB,158.6777016006028
STP,17.613732530431022
SUR,144.76598822175703
SVK,116.84079695564596
SVN,213.4700290472288
SWE,614.3770209963135
SWZ,40.058299813532166
SYC,101.67828384051275
SYR,8.099298964447703
TCD,2.1954885086791585
TGO,3.2522702657859517
THA,45.084091909068356
TJK,6.777192712313868
TKM,75.32427384069865
TLS,10.473864178389073
TON,48.48993769357412
TTO,177.28188552816616
TUN,59.077813181360106
TUR,63.55617917533634
TUV,177.95054174429487
TWN,105.81498048699008
TZA,2.421831090487105
UGA,4.295443104261867
UKR,32.570688825663936
URY,89.44603449649338
USA,1395.5815112689208
UZB,9.019779070419077
VCT,111.14662814312226
VNM,19.25695738773467
VUT,21.765967818524185
WSM,48.83104108397676
YEM,3.1511443637108036
ZAF,85.90941549616826
ZMB,6.031211669830038
ZWE,26.143846622640478
