Country Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
DZA,8872250,9023263,9186150,9364381,9560147,9774280,10006145,10253777,10514077,10783228,11057864,11336336,11619828,11912800,12221675,12550880,12902626,13275020,13663581,14061724,14464992,14872253,15285992,15709831,16149018,16607705,17085799,17582899,18102266,18647801,19221659,19824297,20452901,21101875,21763578,22431507,23102386,23774287,24443472,25106192,25758872,26400468,27028330,27635517,28213777,28757788,29266415,29742980,30192750,30623406,31042238,31451513,31855110,32264159,32692153,33149720,33641007,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043,44616626,45350141,46053477,46731365,47387621,48022191,48634169,49225935,49800522,50360741,50907942,51443645,51971122,52494086,53015571,53536964,54058978,54582839,55109593,55639763,56173697,56710939,57250034,57788898,58325559,58859118,59388436,59910917,60423435,60923390,61409486,61880817,62335701,62772479,63189911,63587228,63964302,64321490,64659573,64979374,65281189,65565489,65833448,66086471,66325952,66552686,66767565,66972181,67168311,67357446,67540496,67718092,67891131,68060403,68226588,68390152,68551325,68710021,68865976,69018897,69168643,69315062,69457751,69596196,69729849,69858325,69981057,70097172,70205645,70305540,70396142,70476914,70547366,70607079,70655551,70692182,70716263,70726984,70723454,70704619
ECU,3470160,3561078,3654720,3751599,3852128,3956625,4065328,4178344,4295754,4417539,4543658,4674176,4809194,4948991,5093848,5243980,5399423,5560013,5725462,5895368,6069375,6247421,6429377,6614840,6803271,6994331,7187794,7383713,7582357,7784074,7989178,8197647,8409396,8624594,8843463,9066100,9292481,9522362,9755576,9991870,10230931,10472476,10716131,10961460,11207999,11455205,11703169,11951457,12198449,12442109,12681123,12914660,13143465,13369678,13596390,13825839,14059379,14296554,14535740,14774412,15011114,15243885,15474099,15707473,15951832,16212022,16491116,16785356,17084359,17373657,17643060,17888474,18113365,18324151,18530785,18740538,18955057,19172033,19389986,19606248,19818799,20027522,20233234,20435856,20635422,20831895,21025157,21214988,21401248,21583750,21762363,21936969,22107469,22273822,22435941,22593788,22747314,22896422,23041046,23181074,23316455,23447099,23572979,23694216,23810907,23923154,24030987,24134326,24233007,24326832,24415659,24499416,24578164,24651990,24721010,24785316,24844962,24899946,24950256,24995886,25036853,25073202,25104975,25132232,25155075,25173590,25187830,25197875,25203732,25205422,25203001,25196506,25186057,25171863,25154170,25133141,25108949,25081642,25051295,25017897,24981490,24942193,24900118,24855453,24808365,24759024,24707570,24654133,24598815,24541698,24482822
EGY,20451988,20948600,21473792,22028132,22611502,23223125,23861509,24524531,25209459,25913227,26632891,27366239,28112258,28871383,29644875,30433024,31237597,32056506,32881852,33703127,34513851,35311905,36102670,36896551,37708144,38549133,39422731,40329589,41275728,42267429,43309063,44400113,45539295,46728284,47968643,49258726,50602360,51991696,53399243,54788680,56134478,57424552,58666812,59880656,61095804,62334025,63601632,64892269,66200259,67515591,68831561,70152662,71485044,72826102,74172073,75523576,76873670,78232124,79636081,81134789,82761244,84529251,86422240,88404652,90424668,92442549,94447071,96442590,98423602,100388076,102334403,104258327,106156692,108031556,109887164,111727822,113553583,115366619,117176387,118994941,120831556,122689211,124567639,126468615,128392923,130340377,132311728,134305287,136314904,138332241,140350383,142366345,144378614,146383312,148376571,150355054,152316495,154259175,156181125,158080708,159956809,161808056,163634318,165437364,167219981,168984282,170730439,172458071,174168052,175861272,177538300,179199385,180844009,182470940,184078470,185665117,187230414,188774019,190294767,191791353,193262751,194708317,196127822,197521450,198889585,200232540,201550026,202841736,204107931,205348944,206564937,207755706,208920784,210059742,211172057,212257147,213314585,214343718,215343489,216312606,217249931,218154642,219026140,219863957,220667658,221436717,222170510,222868251,223529004,224151721,224735180
ERI,822347,835000,849258,864893,881761,899746,918849,939085,960538,983337,1007586,1033319,1060489,1088859,1118152,1148188,1178875,1210304,1242633,1276122,1310947,1347180,1384789,1423749,1463986,1505438,1547978,1591622,1636771,1683932,1733423,1784557,1836825,1890556,1946299,2003942,2064803,2127421,2185607,2231144,2258649,2266356,2257593,2238631,2218436,2204227,2196467,2195192,2206439,2237412,2292413,2374721,2481059,2600972,2719809,2826653,2918209,2996540,3062782,3119920,3170437,3213969,3250104,3281453,3311444,3342818,3376558,3412894,3452797,3497117,3546427,3601462,3662248,3727656,3795984,3865964,3937196,4009964,4084469,4161129,4240216,4321620,4405037,4490189,4576724,4664368,4752916,4842283,4932283,5022756,5113554,5204543,5295590,5386455,5476917,5566814,5656006,5744467,5832191,5919177,6005492,6091067,6175890,6260065,6343706,6426912,6509690,6592012,6673875,6755258,6836127,6916475,6996252,7075398,7153833,7231475,7308284,7384198,7459064,7532781,7605156,7676164,7745775,7813904,7880563,7945708,8009301,8071319,8131732,8190551,8247769,8303387,8357378,8409739,8460494,8509622,8557145,8603066,8647392,8690183,8731457,8771230,8809506,8846270,8881535,8915294,8947547,8978295,9007574,9035395,9061777
ESH,13763,16053,17575,18727,19829,21149,22802,24841,27240,29913,32756,35725,38854,42310,46310,50967,56630,63119,69479,74338,76880,76371,73477,70399,70205,74953,85607,101182,119326,136703,150860,161059,168057,172902,177269,182419,188600,195439,202717,210071,217258,224391,231731,239334,247259,255635,264106,272843,283072,296508,314116,336647,363225,391177,416804,437516,452357,462210,468630,474045,480268,487654,495773,504858,514984,526211,538744,552617,567396,582458,597330,611872,626168,640261,654267,668290,682298,696217,710040,723748,737349,750834,764182,777412,790526,803511,816394,829150,841788,854309,866711,878994,891162,903203,915130,926933,938619,950183,961607,972887,984024,994991,1005802,1016460,1026936,1037249,1047385,1057360,1067164,1076797,1086271,1095590,1104761,1113774,1122644,1131372,1139975,1148432,1156781,1165013,1173147,1181183,1189136,1196993,1204777,1212507,1220142,1227713,1235217,1242662,1250046,1257351,1264610,1271800,1278933,1285994,1293006,1299951,1306836,1313655,1320412,1327091,1333698,1340229,1346689,1353073,1359380,1365609,1371752,1377801,1383773
ESP,28069734,28219620,28399033,28600360,28818012,29048392,29290079,29543626,29811311,30096577,30402413,30729650,31075475,31432768,31791938,32146255,32491643,32830180,33168777,33517677,33883749,34267463,34664234,35069433,35476435,35879210,36276748,36666770,37040401,37386810,37698200,37971968,38209686,38413300,38586704,38733866,38855631,38954490,39038686,39118555,39202524,39299081,39410852,39533726,39660079,39787413,39908962,40035286,40201561,40454472,40824745,41319431,41919593,42596455,43308345,44019118,44728561,45429071,46068811,46583566,46931011,47084242,47063059,46930554,46777927,46671919,46634131,46647425,46692863,46736782,46754783,46745211,46719147,46679284,46630673,46577097,46518645,46453975,46383836,46309019,46230147,46147593,46061484,45971719,45878033,45780172,45677990,45571458,45460499,45345044,45224890,45099799,44969297,44832571,44688616,44536591,44376201,44207094,44028280,43838657,43637408,43424352,43199707,42963772,42717001,42459997,42193143,41917095,41632976,41342170,41045963,40745367,40441302,40134931,39827444,39520069,39213820,38909853,38609694,38314999,38027233,37747233,37475800,37214182,36963724,36725384,36499594,36286366,36085645,35897090,35720274,35554975,35400597,35255677,35118333,34986925,34860675,34738964,34620601,34504328,34389123,34274238,34159184,34043706,33927630,33810797,33693081,33574318,33454328,33332911,33209856
EST,1100997,1113238,1125237,1136906,1148213,1159233,1170091,1181017,1192257,1204106,1216820,1230504,1245083,1260215,1275440,1290406,1304984,1319249,1333174,1346820,1360206,1373298,1386074,1398470,1410467,1422052,1433173,1443891,1454266,1464423,1474438,1483879,1492640,1501422,1511193,1522405,1536034,1551209,1564200,1569967,1565246,1548220,1520811,1488060,1457090,1433026,1417741,1409678,1406350,1403784,1399111,1391739,1382737,1372904,1363570,1355650,1349373,1344295,1340067,1336140,1332103,1327701,1323163,1319068,1316273,1315330,1316507,1319389,1322913,1325649,1326539,1325188,1321905,1317216,1311926,1306645,1301513,1296346,1291089,1285661,1279961,1274033,1267952,1261785,1255564,1249343,1243151,1236975,1230838,1224746,1218697,1212692,1206734,1200809,1194870,1188920,1182924,1176886,1170792,1164638,1158412,1152096,1145706,1139225,1132652,1126015,1119287,1112479,1105585,1098595,1091521,1084356,1077116,1069807,1062426,1054973,1047473,1039932,1032363,1024794,1017241,1009720,1002229,994801,987450,980196,973064,966048,959155,952382,945735,939202,932798,926536,920416,914448,908639,902975,897471,892093,886857,881752,876764,871853,867008,862209,857406,852588,847728,842780,837720
ETH,18128030,18466973,18819701,19184288,19560012,19947291,20347810,20764450,21201028,21661994,22151284,22671193,23221385,23798418,24397010,25013634,25641040,26280135,26944386,27652715,28415080,29248650,30140799,31036670,31861353,32566855,33128150,33577240,33993301,34487806,35141703,35984531,36995246,38142679,39374346,40652146,41965696,43329238,44757205,46272308,47887864,49609976,51423591,53295556,55180993,57047906,58883531,60697443,62507724,64343008,66224808,68159422,70142090,72170581,74239508,76346310,78489205,80674343,82916236,85233923,87639962,90139928,92726982,95385793,98094264,100835453,103603461,106399926,109224410,112078727,114963583,117876226,120812698,123771387,126750868,129749447,132765521,135796650,138839374,141889688,144944302,148001185,151059252,154117367,157174828,160230927,163283946,166332873,169378602,172422729,175465980,178507818,181546169,184578316,187600773,190610528,193605496,196584361,199545708,202488311,205410671,208311247,211187737,214036900,216855054,219639096,222386798,225096920,227768549,230401278,232994396,235546489,238055878,240521352,242941692,245315672,247642431,249920672,252148154,254322269,256441027,258503139,260508377,262457302,264351075,266190460,267975379,269705167,271379324,272997211,274558382,276062945,277511036,278902257,280236075,281512335,282731082,283893100,284999901,286053506,287055562,288007155,288908859,289760921,290563641,291317472,292023200,292681949,293295204,293864788,294392903
FIN,4008292,4050488,4096559,4144309,4191970,4238274,4282376,4323916,4362911,4399668,4434593,4467763,4498821,4526738,4550250,4568604,4581115,4588660,4594021,4601033,4612365,4629371,4651174,4675450,4698782,4718744,4734432,4746929,4758256,4771341,4788247,4809807,4835102,4862171,4888197,4911220,4930342,4946368,4961097,4977118,4996220,5019134,5044928,5071782,5097090,5119012,5136984,5151740,5164236,5175921,5187953,5200475,5213368,5227106,5242175,5258933,5277490,5297741,5319452,5342266,5365784,5390036,5414769,5438984,5461410,5481128,5497714,5511372,5522585,5532159,5540718,5548361,5554956,5560627,5565471,5569569,5573024,5575896,5578136,5579707,5580531,5580670,5580157,5578952,5577046,5574386,5571003,5566952,5562323,5557222,5551766,5546004,5539961,5533678,5527192,5520556,5513815,5506983,5500100,5493147,5486152,5479131,5472137,5465192,5458361,5451670,5445143,5438800,5432729,5427011,5421724,5416879,5412460,5408414,5404700,5401249,5398042,5395057,5392177,5389274,5386272,5383093,5379747,5376183,5372377,5368307,5363965,5359343,5354481,5349413,5344197,5338823,5333335,5327783,5322186,5316621,5311109,5305669,5300329,5295187,5290237,5285523,5281070,5276852,5272895,5269179,5265709,5262500,5259529,5256816,5254370
FJI,288994,296250,304883,314452,324583,335096,345869,356939,368426,380564,393480,407244,421673,436303,450538,463960,476399,487973,498944,509708,520561,531622,542843,554143,565418,576626,587561,598299,609383,621584,635312,651032,668281,685497,700478,711770,718642,721776,722924,724602,728575,735398,744470,754962,765607,775428,784389,792736,800148,806302,811011,813923,815257,816078,817864,821606,827869,836185,845356,853636,859816,863451,865065,865602,866447,868632,872406,877460,883490,889955,896444,902899,909457,916131,922955,929977,937162,944456,951763,958971,966019,972866,979496,985937,992226,998387,1004410,1010275,1015984,1021522,1026887,1032078,1037093,1041938,1046623,1051129,1055478,1059661,1063677,1067544,1071252,1074797,1078201,1081444,1084500,1087395,1090119,1092671,1095053,1097254,1099290,1101157,1102854,1104384,1105757,1106985,1108050,1108984,1109771,1110436,1110974,1111404,1111716,1111901,1111983,1111937,1111765,1111476,1111061,1110517,1109845,1109033,1108088,1107007,1105791,1104427,1102925,1101268,1099468,1097526,1095412,1093164,1090758,1088214,1085519,1082683,1079726,1076626,1073401,1070056,1066581
FLK,2254,2245,2231,2217,2212,2203,2189,2175,2169,2157,2144,2131,2119,2103,2086,2074,2055,2035,2025,1997,1989,1964,1941,1931,1912,1909,1898,1877,1865,1861,1853,1850,1845,1838,1833,1841,1853,1866,1885,1925,1980,2061,2169,2269,2384,2501,2593,2688,2769,2831,2893,2927,2944,2950,2950,2950,2940,2928,2932,2921,2902,2863,2823,2793,2787,2836,2926,3074,3236,3372,3483,3528,3534,3519,3489,3468,3452,3444,3443,3446,3439,3425,3422,3409,3402,3393,3387,3375,3366,3355,3348,3338,3326,3316,3304,3288,3283,3270,3260,3247,3233,3225,3217,3203,3192,3181,3172,3156,3144,3131,3117,3106,3093,3083,3071,3053,3034,3024,3020,3008,2997,2987,2970,2965,2957,2948,2939,2932,2921,2912,2902,2891,2879,2875,2865,2858,2850,2840,2833,2819,2812,2806,2794,2783,2774,2766,2757,2747,2737,2729,2717
FRA,41833873,42031196,42315598,42654661,43024817,43411377,43808997,44221224,44659052,45138433,45673147,46266974,46907043,47560825,48184414,48746653,49232536,49651080,50024587,50387441,50763921,51162569,51573268,51979531,52356793,52688575,52969314,53208549,53423112,53637073,53868006,54121009,54391469,54675370,54965167,55254838,55545271,55837622,56126337,56404303,56666861,56913580,57147213,57370375,57587122,57801887,58012055,58220657,58444245,58704381,59015092,59384126,59803434,60251591,60697977,61120128,61508924,61869229,62209207,62542883,62879535,63222229,63564224,63893521,64193550,64453194,64667590,64842513,64990512,65129731,65273512,65426177,65584513,65745189,65902028,66050606,66190532,66323948,66451747,66575352,66695705,66812867,66926041,67034148,67135680,67229460,67315168,67392742,67461584,67521106,67570922,67610831,67640954,67661693,67673657,67677388,67673172,67661299,67642429,67617343,67586729,67551148,67511019,67466802,67418882,67367707,67313753,67257605,67199943,67141552,67083084,67024918,66967475,66911463,66857675,66806693,66758884,66714229,66672471,66633166,66595928,66560606,66527166,66495365,66464977,66435721,66407482,66379992,66352553,66324312,66294653,66263253,66230172,66195706,66160398,66124611,66088320,66051382,66013926,65976118,65938023,65899587,65860642,65820973,65780272,65738225,65694566,65648970,65601163,65550861,65497773
FRO,31502,31539,31669,31867,32144,32478,32860,33268,33706,34161,34624,35074,35521,35965,36409,36843,37283,37705,38131,38560,39008,39456,39915,40395,40847,41292,41724,42133,42539,42941,43339,43725,44101,44483,44895,45328,45812,46340,46833,47159,47276,47123,46746,46277,45848,45625,45624,45789,46094,46428,46738,46999,47235,47439,47600,47731,47793,47825,47822,47814,47803,47815,47843,47901,47965,48055,48173,48326,48497,48677,48865,49053,49230,49419,49613,49815,50036,50246,50470,50697,50913,51129,51341,51546,51744,51934,52103,52265,52411,52553,52672,52784,52882,52981,53065,53142,53206,53273,53339,53396,53465,53523,53587,53648,53713,53783,53849,53917,53997,54074,54142,54225,54315,54393,54473,54555,54642,54723,54794,54871,54949,55014,55079,55150,55210,55278,55328,55376,55427,55466,55507,55546,55571,55589,55604,55611,55616,55617,55613,55596,55586,55556,55520,55485,55443,55409,55351,55288,55227,55163,55097
FSM,32003,33399,34586,35675,36757,37880,39066,40351,41695,43096,44510,45939,47372,48856,50476,52224,54192,56308,58386,60146,61415,62089,62275,62268,62456,63122,64360,66079,68196,70515,72936,75422,78015,80630,83192,85641,87904,89985,91984,94062,96304,98779,101386,103901,106030,107535,108311,108473,108206,107769,107405,107170,107027,106902,106624,106135,105374,104442,103549,102971,102916,103448,104506,105922,107444,108886,110215,111461,112640,113811,115021,116255,117486,118708,119921,121113,122295,123440,124565,125644,126699,127698,128651,129567,130419,131222,131983,132695,133347,133979,134565,135116,135636,136133,136587,137033,137439,137846,138220,138578,138915,139241,139541,139825,140082,140317,140506,140677,140817,140907,140943,140950,140899,140808,140660,140464,140212,139921,139571,139184,138742,138256,137730,137169,136569,135943,135289,134610,133912,133191,132452,131718,130954,130184,129406,128608,127804,126984,126157,125309,124453,123576,122672,121758,120818,119859,118884,117889,116867,115813,114734
GAB,473296,476381,478655,480536,482332,484308,486640,489439,492758,496591,500922,505793,511285,517573,524891,533357,543119,554054,565763,577644,589317,600608,611705,622914,634739,647538,661398,676264,692078,708788,726335,744695,763932,784056,805117,827107,850052,873871,898472,923714,949493,975785,1002573,1029769,1057252,1084951,1112944,1141332,1170061,1199058,1228359,1258008,1288310,1319946,1353788,1390550,1430144,1472565,1518538,1568925,1624146,1684629,1749677,1817070,1883801,1947690,2007882,2064812,2119275,2172578,2225728,2278829,2331532,2383905,2435945,2487672,2539200,2590618,2641952,2693227,2744456,2795682,2846960,2898353,2949950,3001792,3053905,3106290,3158997,3212029,3265421,3319140,3373182,3427478,3481959,3536544,3591211,3645878,3700486,3754900,3809049,3862874,3916321,3969331,4021804,4073683,4124938,4175550,4225511,4274809,4323454,4371432,4418781,4465531,4511753,4557530,4602860,4647775,4692313,4736527,4780454,4824126,4867531,4910659,4953521,4996105,5038406,5080389,5122024,5163235,5203965,5244197,5283876,5322991,5361480,5399339,5436541,5473024,5508692,5543435,5577160,5609814,5641419,5671984,5701557,5730166,5757856,5784595,5810423,5835302,5859225
GBR,50616019,50601926,50651273,50750980,50890911,51063907,51265885,51495703,51754668,52045664,52370595,52727763,53109400,53500721,53882751,54240855,54568868,54866529,55132603,55367950,55573455,55748534,55892412,56006290,56092059,56152325,56188348,56203598,56205910,56205087,56209164,56220739,56241408,56276791,56332902,56413555,56522505,56658260,56812754,56974289,57134377,57290792,57446041,57602279,57763382,57932450,58113554,58307320,58509972,58715859,58923305,59124277,59326294,59561429,59872760,60287953,60821349,61455154,62145098,62828620,63459801,64021922,64525300,64984015,65423048,65860149,66297944,66727463,67141678,67530161,67886004,68207114,68497913,68765935,69021842,69273640,69524100,69771961,70016263,70254648,70485483,70709292,70927465,71140069,71347133,71548756,71744927,71935935,72122612,72306030,72486896,72665441,72841365,73014051,73182661,73346419,73505280,73659104,73807098,73948300,74081983,74208011,74326612,74438066,74542855,74641527,74734268,74821528,74904248,74983541,75060473,75135388,75208709,75281330,75354289,75428318,75503853,75580844,75658877,75737157,75815114,75892717,75970007,76046482,76121515,76194677,76265850,76335217,76402935,76469356,76534815,76599406,76663298,76727235,76792088,76858558,76926860,76997050,77069261,77143606,77220082,77298644,77379151,77461396,77545082,77629889,77715360,77801031,77886333,77970640,78053263
GEO,3527008,3555878,3588631,3625614,3667077,3713129,3763770,3818856,3878133,3941249,4007724,4077079,4148733,4222157,4296671,4371527,4446837,4521715,4593315,4658009,4713340,4758161,4793558,4822168,4847869,4873638,4900192,4927251,4955517,4985591,5017827,5051116,5085141,5121801,5163641,5211454,5267233,5327496,5380820,5411983,5410400,5372996,5303925,5208954,5097126,4976252,4846627,4709596,4575396,4456652,4362184,4296981,4258573,4238930,4225811,4210158,4189721,4166859,4142648,4119490,4099095,4081012,4064097,4048701,4035310,4024180,4015457,4008723,4002946,3996762,3989175,3979773,3968728,3956337,3943050,3929288,3915051,3900212,3884887,3869218,3853301,3837215,3820984,3804634,3788234,3771775,3755301,3738827,3722363,3705861,3689311,3672725,3656081,3639350,3622475,3605424,3588163,3570718,3553028,3535076,3516870,3498373,3479586,3460535,3441241,3421690,3401932,3381952,3361788,3341478,3321033,3300479,3279854,3259160,3238445,3217732,3197048,3176402,3155805,3135265,3114796,3094401,3074085,3053855,3033737,3013704,2993787,2973943,2954211,2934562,2915001,2895491,2876045,2856656,2837303,2817966,2798653,2779321,2759956,2740497,2720938,2701228,2681344,2661314,2641066,2620613,2599926,2578958,2557698,2536109,2514130
GHA,5036151,5140319,5268648,5413371,5568654,5730592,5897345,6068997,6247304,6435160,6635229,6848291,7071966,7300124,7524470,7739463,7941418,8132803,8321772,8520018,8735493,8973247,9229640,9493552,9749098,9985946,10199164,10395453,10590265,10805318,11056112,11348287,11676828,12033559,12405659,12783617,13164839,13552021,13947047,14353409,14773274,15207360,15653345,16106756,16561677,17014058,17462504,17908977,18357159,18812369,19278850,19756929,20246376,20750308,21272328,21814648,22379057,22963946,23563832,24170943,24779614,25387713,25996454,26607641,27224480,27849203,28481947,29121464,29767108,30417858,31072945,31732128,32395454,33062741,33733902,34408762,35087160,35768893,36453875,37142078,37833419,38527747,39224881,39924653,40626942,41331548,42038251,42746836,43457212,44169217,44882713,45597444,46313077,47029148,47745146,48460554,49175071,49888351,50599955,51309354,52016123,52719927,53420468,54117515,54810821,55500191,56185334,56865990,57542036,58213419,58879984,59541644,60198118,60848952,61493586,62131600,62762642,63386613,64003859,64614891,65220014,65819217,66412024,66997691,67575232,68143854,68703158,69253042,69793461,70324532,70846246,71358513,71860985,72353132,72834298,73303985,73761903,74208117,74642956,75066944,75480468,75883591,76276146,76657840,77028328,77387375,77734823,78070717,78395226,78708635,79011409
GIB,22032,22287,22489,22632,22729,22784,22826,22881,22977,23145,23420,23808,24307,24889,25478,26079,26631,27172,27693,28165,28601,29007,29353,29657,29886,30062,30179,30228,30224,30172,30068,29902,29698,29481,29284,29151,29096,29114,29164,29187,29149,29021,28844,28680,28605,28688,28970,29404,29945,30526,31081,31604,32097,32555,32930,33222,33420,33524,33570,33562,33585,33608,33653,33694,33726,33742,33738,33723,33715,33706,33691,33691,33714,33711,33737,33753,33786,33820,33844,33889,33906,33951,33978,34004,34031,34049,34082,34096,34120,34119,34133,34137,34144,34126,34112,34100,34077,34051,34013,33969,33918,33864,33808,33740,33670,33591,33512,33427,33312,33210,33103,32991,32877,32752,32627,32488,32360,32213,32070,31934,31794,31645,31502,31350,31212,31063,30917,30764,30614,30469,30325,30179,30043,29893,29747,29593,29452,29297,29145,28996,28839,28674,28526,28364,28207,28043,27876,27715,27559,27388,27242
GIN,3012938,3054000,3095613,3138452,3183009,3229643,3278495,3329562,3382714,3437667,3494164,3552068,3611428,3672560,3735912,3801711,3870204,3941046,4013050,4084601,4154606,4223056,4290544,4357357,4424030,4491248,4559239,4628881,4702371,4782491,4871446,4969595,5077073,5195443,5326369,5470716,5629420,5801323,5982484,6167480,6352282,6534936,6716032,6897171,7081119,7269631,7463782,7662071,7860772,8054745,8240735,8417082,8586077,8753097,8925729,9109585,9307421,9518159,9738796,9964470,10192168,10420459,10652032,10892821,11150970,11432096,11738434,12067516,12414292,12771246,13132792,13497237,13865692,14238716,14617784,15003848,15396570,15794994,16198774,16607517,17020912,17438697,17860691,18286677,18716466,19149859,19586671,20026716,20469799,20915792,21364535,21815813,22269479,22725447,23183709,23644152,24106630,24570873,25036655,25503728,25971807,26440679,26910076,27379606,27848796,28317266,28784678,29250806,29715477,30178569,30639917,31099277,31556371,32010815,32462211,32910206,33354527,33794998,34231387,34663549,35091315,35514474,35932841,36346226,36754453,37157362,37554834,37946772,38332932,38713075,39087022,39454556,39815700,40170766,40520257,40864442,41203446,41537026,41864668,42185678,42499528,42806020,43105234,43397407,43682841,43961734,44234170,44500161,44759497,45011878,45256876
GLP,209999,213342,217579,222796,228990,236054,243840,252030,260249,268078,275173,281312,286538,291106,295509,300058,304867,309772,314498,318630,321887,324170,325635,326577,327426,328489,330007,331915,333919,335587,336683,336932,336612,336677,338430,342737,350061,359911,370913,381139,389251,394615,397692,399380,401066,403731,407784,412739,417621,421035,422048,420248,416132,410868,406068,402903,401809,402405,403967,405444,406073,405643,404446,402826,401305,400260,399760,399679,399848,400048,400127,400013,399802,399536,399321,399247,399316,399488,399731,400006,400244,400457,400628,400749,400769,400666,400451,400111,399635,399046,398339,397521,396611,395597,394508,393357,392155,390910,389623,388296,386919,385515,384084,382657,381239,379835,378485,377177,375910,374690,373529,372427,371367,370375,369433,368537,367695,366897,366131,365405,364710,364040,363382,362742,362112,361505,360885,360268,359652,359024,358400,357744,357084,356399,355687,354957,354177,353365,352523,351632,350695,349728,348707,347625,346521,345340,344119,342841,341504,340114,338669
GMB,304895,309083,313525,318382,323755,329662,336117,343013,350228,357630,365049,372436,379886,387635,396012,405258,415478,426622,438590,451228,464404,478106,492424,507428,523250,539985,557810,576755,596540,616770,637252,657581,678111,700198,725688,755791,791141,831011,873440,915631,955595,992671,1027476,1060861,1094219,1128577,1164091,1200522,1238124,1277118,1317708,1360070,1404263,1449925,1496524,1543745,1591444,1639846,1689288,1740277,1793199,1848142,1905020,1963708,2024037,2085860,2149134,2213900,2280092,2347696,2416664,2486937,2558493,2631251,2705194,2780255,2856404,2933573,3011723,3090775,3170687,3251396,3332860,3415054,3497961,3581566,3665800,3750643,3836017,3921853,4008098,4094696,4181604,4268764,4356156,4443732,4531425,4619210,4706969,4794625,4882099,4969333,5056273,5142881,5229109,5314948,5400325,5485197,5569531,5653329,5736538,5819130,5901087,5982290,6062669,6142131,6220632,6298163,6374713,6450306,6524957,6598646,6671323,6742960,6813507,6882933,6951201,7018294,7084181,7148838,7212223,7274318,7335106,7394527,7452548,7509130,7564259,7617897,7670040,7720635,7769650,7817077,7862941,7907238,7949989,7991224,8030975,8069255,8106092,8141524,8175553
GNB,535438,544412,552569,560362,568163,576131,584335,592669,600925,608835,616140,622754,628877,635008,641821,649795,658998,669243,680431,692407,704937,718359,732516,746178,757668,765985,770415,771732,772137,774726,781678,793804,810402,830212,851276,872163,892530,912755,933046,953782,975265,997522,1020353,1043421,1066345,1088850,1110835,1132505,1154372,1177133,1201305,1227105,1254454,1283297,1313492,1344931,1377582,1411545,1446936,1483920,1522603,1562996,1604981,1648259,1692433,1737207,1782434,1828146,1874304,1920917,1967998,2015490,2063360,2111612,2160280,2209378,2258895,2308813,2359159,2409956,2461208,2512924,2565082,2617671,2670648,2724000,2777711,2831754,2886139,2940904,2996057,3051567,3107400,3163490,3219714,3276006,3332323,3388624,3444902,3501098,3557202,3613167,3668979,3724567,3779893,3834904,3889587,3943893,3997847,4051475,4104756,4157710,4210298,4262469,4314169,4365367,4416017,4466124,4515687,4564693,4613179,4661110,4708449,4755179,4801249,4846593,4891210,4935081,4978198,5020567,5062176,5103017,5143068,5182285,5220606,5258003,5294437,5329933,5364473,5398063,5430728,5462450,5493245,5523083,5551996,5579975,5607010,5633139,5658379,5682738,5706289
GNQ,225530,230914,234185,236322,238033,239866,242139,244958,248246,251770,255338,258786,262219,266005,270616,276296,283506,291786,299416,304000,303986,298852,289508,277656,265762,255808,247969,242160,239681,241977,249931,264370,284638,308208,331554,352116,369024,382977,394973,406620,419188,432844,447269,462637,479099,496768,515844,536459,558496,581765,606180,631662,658388,686670,716949,749527,784494,821686,860839,901589,943640,986861,1031191,1076412,1122273,1168575,1215181,1262008,1308966,1355982,1402985,1449891,1496673,1543389,1590204,1637214,1684460,1731874,1779309,1826581,1873551,1920130,1966429,2012645,2059080,2105959,2153346,2201143,2249249,2297466,2345653,2393780,2441858,2489842,2537702,2585384,2632868,2680123,2727178,2774099,2820923,2867643,2914203,2960593,3006734,3052588,3098146,3143368,3188206,3232613,3276547,3319971,3362862,3405181,3446899,3487974,3528376,3568098,3607149,3645503,3683170,3720159,3756434,3792033,3826931,3861146,3894695,3927566,3959770,3991328,4022253,4052536,4082198,4111234,4139656,4167461,4194664,4221256,4247240,4272593,4297311,4321404,4344857,4367692,4389905,4411529,4432541,4452972,4472796,4492012,4510631
