Country Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ATG,45515,46541,47385,48135,48876,49648,50464,51360,52280,53214,54132,55005,55849,56701,57641,58699,59912,61240,62523,63553,64184,64354,64134,63649,63108,62671,62353,62162,62038,61948,61861,61789,61780,61779,61784,61785,61754,61713,61758,62007,62533,63363,64459,65777,67201,68672,70176,71707,73219,74674,76007,77212,78298,79311,80347,81462,82715,84029,85394,86743,88030,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928,98728,99505,100272,101016,101719,102402,103067,103691,104302,104859,105411,105925,106408,106865,107298,107695,108093,108446,108781,109083,109367,109634,109862,110073,110276,110439,110582,110713,110819,110901,110959,110993,111018,111010,110992,110956,110907,110830,110755,110666,110564,110449,110328,110197,110063,109932,109779,109631,109466,109311,109144,108967,108789,108613,108420,108236,108028,107836,107630,107414,107198,106967,106739,106488,106238,105995,105738,105472,105206,104931,104656,104379,104095,103805,103528,103232,102936,102643,102347,102048
AUS,8177348,8398224,8595064,8782177,8970121,9165700,9371781,9587459,9808595,10028799,10242070,10445836,10643420,10845179,11065419,11313186,11593402,11899644,12215704,12518931,12793030,13033130,13244163,13431790,13605574,13773290,13935722,14092545,14249403,14413002,14588400,14777241,14979203,15194644,15423156,15663672,15917580,16183159,16452258,16713989,16960600,17189235,17402179,17603211,17798526,17993083,18189274,18387205,18587027,18788187,18991434,19194676,19401366,19624163,19879654,20178543,20526300,20916339,21332293,21750852,22154687,22538002,22903951,23254912,23596426,23932499,24262710,24584619,24898153,25203200,25499881,25788217,26068793,26343073,26612912,26879753,27144224,27406327,27666064,27923172,28177480,28429245,28678759,28925692,29169600,29410247,29647564,29881870,30113684,30343710,30572490,30800208,31026902,31252712,31477766,31702144,31925961,32149253,32371843,32593518,32814106,33033574,33251915,33469046,33684883,33899312,34112358,34323980,34534175,34742896,34950161,35155971,35360354,35563479,35765568,35966779,36167176,36366773,36565596,36763657,36960955,37157588,37353586,37548924,37743553,37937450,38130708,38323431,38515747,38707797,38899744,39091643,39283641,39476075,39669373,39863841,40059567,40256516,40454725,40654190,40854879,41056665,41259366,41462744,41666533,41870415,42074008,42276912,42478662,42678801,42876774
AUT,6936442,6931346,6931194,6935149,6942617,6953404,6967624,6985724,7008415,7036554,7070773,7111139,7156836,7205991,7256091,7305154,7352239,7397168,7439581,7479340,7516238,7550339,7581120,7607067,7626290,7637686,7640755,7636573,7627762,7617883,7609750,7604512,7602177,7603100,7607296,7614874,7625395,7639351,7658856,7686564,7723954,7772698,7830938,7892089,7947215,7990113,8017852,8032873,8041054,8051116,8069276,8097755,8134403,8175855,8216809,8253656,8285344,8313731,8341525,8372657,8409945,8453501,8502230,8556191,8615205,8678667,8747306,8819902,8891383,8955108,9006400,9043072,9066712,9081181,9092313,9104435,9118656,9133798,9149226,9163511,9175689,9185827,9194503,9201696,9207391,9211616,9214338,9215598,9215510,9214201,9211788,9208343,9203862,9198324,9191716,9184030,9175328,9165634,9154969,9143309,9130698,9117168,9102796,9087766,9072262,9056451,9040416,9024241,9008074,8992114,8976490,8961283,8946513,8932224,8918431,8905129,8892354,8880082,8868190,8856526,8844966,8833484,8822086,8810681,8799214,8787628,8775928,8764155,8752401,8740777,8729407,8718329,8707633,8697473,8688084,8679652,8672236,8665870,8660591,8656451,8653445,8651575,8650826,8651165,8652515,8654819,8657997,8661914,8666461,8671498,8676844
AZE,2927926,2987264,3060014,3142813,3233167,3329373,3430666,3537022,3649189,3768336,3895398,4030325,4171428,4315127,4456691,4592601,4721528,4843872,4960237,5071930,5180032,5284518,5385266,5483088,5579071,5674129,5768730,5863138,5957927,6053635,6150735,6249312,6349555,6452067,6557581,6666447,6778631,6893486,7010027,7126877,7242758,7357945,7471924,7581754,7683704,7775418,7855558,7925668,7989903,8054126,8122743,8197295,8277065,8361433,8448938,8538610,8630153,8724237,8821869,8924383,9032465,9146277,9264684,9385467,9505616,9622741,9736041,9845316,9949537,10047719,10139175,10223344,10300196,10370490,10435341,10495689,10551674,10603359,10651431,10696685,10739736,10780881,10820172,10857547,10892871,10925979,10956948,10985771,11012055,11035274,11055063,11071292,11084046,11093274,11099020,11101322,11100188,11095710,11088129,11077798,11064995,11049865,11032504,11013079,10991809,10968875,10944387,10918431,10891053,10862292,10832145,10800695,10768018,10734091,10698875,10662360,10624594,10585665,10545619,10504517,10462433,10419430,10375632,10331183,10286224,10240904,10195332,10149611,10103941,10058574,10013683,9969368,9925636,9882557,9840128,9798371,9757289,9716831,9676871,9637219,9597701,9558196,9518674,9479064,9439339,9399412,9359216,9318576,9277340,9235279,9192141
BDI,2308927,2360442,2406034,2449089,2492192,2537150,2584913,2635622,2688751,2743202,2797925,2852438,2907320,2964416,3026292,3094378,3170496,3253215,3336930,3413909,3479070,3530000,3569655,3605120,3646428,3700879,3770870,3854446,3949264,4051239,4157296,4266520,4379727,4497544,4621096,4750832,4886745,5027143,5168703,5307069,5438959,5564923,5685569,5798054,5898964,5987044,6060110,6122130,6185564,6267132,6378871,6525546,6704118,6909161,7131688,7364857,7607850,7862226,8126104,8397661,8675606,8958406,9245992,9540302,9844301,10160034,10488002,10827010,11175379,11530577,11890781,12255429,12624845,12999141,13378732,13763925,14154616,14550637,14952170,15359506,15772827,16192189,16617636,17049319,17487432,17932071,18383281,18840990,19305205,19775883,20252945,20736252,21225658,21720889,22221668,22727690,23238705,23754432,24274376,24797996,25324770,25854348,26386467,26920822,27457140,27995149,28534591,29075194,29616618,30158487,30700524,31242508,31784283,32325833,32867119,33408139,33948728,34488742,35028303,35567555,36106547,36645251,37183400,37720640,38256486,38790496,39322428,39852143,40379532,40904566,41427148,41947052,42463972,42977559,43487464,43993312,44494859,44991864,45483882,45970462,46451209,46925861,47394253,47856266,48311838,48760887,49203328,49639022,50067824,50489580,50904072
BEL,8637521,8680176,8727988,8779267,8832697,8887275,8942408,8997845,9053640,9110067,9167361,9225414,9283545,9340419,9394300,9443948,9488759,9529046,9565591,9599651,9632179,9663323,9692845,9720750,9747023,9771582,9794771,9816693,9836812,9854372,9868999,9880594,9889819,9897877,9906370,9916577,9928539,9942281,9959011,9980175,10006545,10039450,10078098,10118684,10155909,10186304,10208265,10223785,10237298,10255161,10282046,10319026,10364879,10419029,10480118,10546885,10619484,10697576,10778764,10859934,10938735,11013860,11085355,11154008,11221225,11287931,11354407,11419752,11482180,11539326,11589616,11632334,11668276,11699400,11728462,11757494,11787202,11817128,11846939,11875982,11903751,11930300,11955916,11980543,12004081,12026485,12047712,12067747,12086637,12104417,12121106,12136743,12151285,12164634,12176693,12187311,12196540,12204425,12211033,12216465,12220769,12224028,12226319,12227842,12228785,12229332,12229605,12229678,12229651,12229613,12229644,12229839,12230239,12230986,12232194,12233981,12236393,12239429,12243010,12247024,12251398,12256073,12261094,12266413,12272014,12277881,12283990,12290340,12296855,12303538,12310312,12317176,12324153,12331293,12338708,12346462,12354552,12362987,12371735,12380808,12390193,12399865,12409799,12419953,12430298,12440756,12451306,12461866,12472356,12482717,12492831
BEN,2255222,2258475,2264862,2274484,2287376,2303592,2323052,2345712,2371455,2400129,2431617,2465865,2502897,2542864,2585961,2632361,2682159,2735308,2791588,2850657,2912338,2976575,3043563,3113681,3187413,3265167,3347169,3433445,3523933,3618519,3717161,3820126,3927717,4039940,4156819,4278502,4404504,4535262,4672844,4820020,4978489,5149496,5331805,5521761,5714215,5905552,6094272,6281644,6470275,6664102,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,12451031,12784728,13124347,13470100,13822065,14180221,14544417,14914569,15290580,15672310,16059662,16452534,16850769,17254209,17662705,18076121,18494290,18916986,19343983,19775009,20209935,20648613,21090937,21536843,21986214,22438951,22894883,23353882,23815795,24280484,24747778,25217579,25689807,26164491,26641578,27120948,27602405,28085579,28570084,29055581,29541802,30028623,30515983,31003887,31492264,31980966,32469711,32958165,33445966,33932764,34418381,34902598,35385148,35865724,36344046,36819895,37293124,37763807,38232022,38697825,39161123,39621675,40079283,40533720,40984745,41432194,41875902,42315648,42751203,43182341,43608862,44030578,44447299,44858871,45265077,45665759,46060700,46449700,46832539,47208998
BES,7129,7290,7425,7524,7610,7668,7722,7782,7855,7949,8077,8231,8429,8647,8888,9126,9389,9638,9910,10148,10359,10542,10716,10841,10956,11026,11076,11094,11105,11135,11209,11318,11473,11646,11843,12024,12185,12332,12485,12709,13010,13430,13936,14451,14858,15101,15163,15082,14889,14632,14387,14131,13882,13755,13886,14399,15338,16645,18163,19648,20941,21998,22840,23512,24067,24571,25017,25399,25709,25983,26221,26445,26643,26842,27013,27175,27335,27499,27664,27805,27945,28083,28211,28335,28451,28570,28674,28774,28876,28974,29047,29128,29212,29279,29350,29425,29490,29537,29600,29642,29699,29753,29797,29835,29878,29929,29955,30001,30041,30087,30121,30160,30202,30250,30291,30341,30389,30433,30489,30549,30593,30653,30702,30770,30820,30883,30943,30999,31052,31113,31183,31243,31296,31365,31431,31502,31574,31635,31712,31781,31854,31930,32009,32086,32154,32235,32311,32383,32461,32542,32606
BFA,4284455,4324493,4367137,4413202,4463165,4517155,4574945,4635951,4699345,4764085,4829289,4894580,4960328,5027811,5098891,5174874,5256360,5343025,5434046,5528172,5624592,5723378,5825174,5930493,6040045,6154554,6274032,6398933,6530820,6671656,6822837,6985166,7158259,7340910,7531239,7727908,7930689,8140080,8356313,8579818,8811033,9050086,9297110,9552473,9816584,10089880,10372734,10665552,10968722,11282696,11607951,11944589,12293097,12654624,13030576,13421935,13829173,14252029,14689725,15141098,15605211,16081915,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278,21497097,22102838,22720842,23351513,23995149,24651776,25321196,26003242,26697615,27404036,28122271,28852042,29592937,30344461,31106148,31877595,32658445,33448059,34245780,35051003,35863225,36682082,37507259,38338528,39175619,40018239,40865916,41717962,42573600,43432174,44293244,45156630,46022443,46890973,47762355,48636304,49512435,50390519,51270335,52151571,53033989,53917105,54800123,55682095,56562183,57439790,58314592,59186435,60055348,60921151,61783560,62641956,63495476,64343112,65184032,66017686,66843818,67662219,68472877,69275675,70070286,70856321,71633360,72400935,73158652,73906214,74643349,75369941,76085915,76791121,77485354,78168365,78839813,79499383,80146800,80781806,81404189,82013791,82610496,83194233
BGD,37894671,38706399,39489861,40292411,41149830,42086305,43113922,44233217,45434542,46700569,48013505,49362834,50752150,52202008,53741721,55385114,57157651,59034250,60918452,62679765,64232486,65531635,66625706,67637541,68742222,70066310,71652386,73463593,75450033,77529040,79639498,81767516,83932132,86142490,88416529,90764180,93187593,95671159,98186350,100695496,103171957,105599125,107983708,110350641,112737684,115169933,117649927,120160571,122682818,125189655,127657862,130088709,132478076,134791598,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,166303494,167885680,169431797,170937444,172399074,173813766,175180164,176498329,177769400,178993870,180171132,181299543,182377419,183402763,184374132,185290677,186152469,186960086,187714581,188416728,189066449,189663457,190208136,190700981,191142277,191532352,191871025,192157306,192389849,192567779,192690991,192760025,192775450,192738073,192648702,192507883,192316133,192074156,191782759,191442780,191055075,190620637,190140660,189616468,189049339,188440359,187790621,187101493,186374390,185610648,184811534,183978099,183111361,182212228,181281711,180320909,179331030,178313248,177268761,176198774,175104554,173987283,172847911,171687350,170506629,169306903,168089627,166856595,165609782,164351024,163081808,161803423,160517002,159223639,157924517,156620931,155314327,154006298,152698574,151393018
