disease,Country Code,scenario,ConsiderTC,ConsiderMB,informal,discount,GDPloss,tax,pc_loss
Diabetes mellitus,AFG,lower,0,1,0.0,0.0,1.6202091293588083,0.0006657855745680818,30.97114776014665
Diabetes mellitus,AGO,lower,0,1,0.0,0.0,3.964359956657959,0.0006019146339591,74.6661170507924
Diabetes mellitus,ALB,lower,0,1,0.0,0.0,1.2247462212254945,0.0006557472960837,454.5566829312992
Diabetes mellitus,AND,lower,0,1,0.0,0.0,0.14837842163311687,0.000891917489532666,1912.3879974117322
Diabetes mellitus,ARE,lower,0,1,0.0,0.0,27.931487971085385,0.0009319072082105503,2659.1276566720485
Diabetes mellitus,ARG,lower,0,1,0.0,0.0,18.728927088302125,0.0006105206631529,370.8908863856822
Diabetes mellitus,ARM,lower,0,1,0.0,0.0,2.220542740615898,0.0010264668220672,759.4351673103556
Diabetes mellitus,ASM,lower,0,1,0.0,0.0,0.044150109120291554,0.0013418767297983625,810.8794272574481
Diabetes mellitus,ATG,lower,0,1,0.0,0.0,0.0896817941514753,0.0010274175048279835,843.9599152850485
Diabetes mellitus,AUS,lower,0,1,0.0,0.0,37.3024954565166,0.0006618165325379,1272.4262409252135
Diabetes mellitus,AUT,lower,0,1,0.0,0.0,9.247915020988096,0.0005039720774883,1009.5846757050638
Diabetes mellitus,AZE,lower,0,1,0.0,0.0,4.267836543463303,0.00083741148442,394.4567198782125
Diabetes mellitus,BDI,lower,0,1,0.0,0.0,0.1347400260808105,0.0003925743781247,7.411679442605429
Diabetes mellitus,BEL,lower,0,1,0.0,0.0,12.958251930551024,0.0005926030288819,1081.315201824151
Diabetes mellitus,BEN,lower,0,1,0.0,0.0,1.4252503362105942,0.0004788808048969,79.82138200524889
Diabetes mellitus,BFA,lower,0,1,0.0,0.0,2.153028210673416,0.0006280477691537,68.37657609000895
Diabetes mellitus,BGD,lower,0,1,0.0,0.0,57.61769463587976,0.0007103850178446,316.05632064666986
Diabetes mellitus,BGR,lower,0,1,0.0,0.0,11.490370857521029,0.0015118105280777,1867.931507503604
Diabetes mellitus,BHR,lower,0,1,0.0,0.0,2.0670324953472443,0.0006408302321307,994.219466680317
Diabetes mellitus,BHS,lower,0,1,0.0,0.0,0.800213239363596,0.0017976447436866,1836.486294303159
Diabetes mellitus,BIH,lower,0,1,0.0,0.0,3.280255100101708,0.0014153676730574,1088.677585532944
Diabetes mellitus,BLR,lower,0,1,0.0,0.0,1.9921940810916747,0.0003560680435454,219.2543952131661
Diabetes mellitus,BLZ,lower,0,1,0.0,0.0,0.2141567455999221,0.0023039171571629,434.0553149234959
Diabetes mellitus,BMU,lower,0,1,0.0,0.0,0.2545894593966327,0.000973521313237962,4340.869222529284
Diabetes mellitus,BOL,lower,0,1,0.0,0.0,4.758908319832398,0.0010036151649071,342.5305651533374
Diabetes mellitus,BRA,lower,0,1,0.0,0.0,67.80837280819726,0.0006975114371513,301.5157272146882
Diabetes mellitus,BRB,lower,0,1,0.0,0.0,0.3813841875549077,0.0029196696310804,1331.7163473457824
Diabetes mellitus,BRN,lower,0,1,0.0,0.0,2.090465814809742,0.0020587672350452,4393.698015052538
Diabetes mellitus,BTN,lower,0,1,0.0,0.0,0.5198784609147883,0.0009559843372961,606.8011841849783
Diabetes mellitus,BWA,lower,0,1,0.0,0.0,1.0178019989023972,0.0005930711010804,343.7789324215646
Diabetes mellitus,CAF,lower,0,1,0.0,0.0,0.15279883626250698,0.0005984258214405908,23.21744750226788
Diabetes mellitus,CAN,lower,0,1,0.0,0.0,52.567143950050536,0.0007418772734115,1250.6744132436888
Diabetes mellitus,CHE,lower,0,1,0.0,0.0,21.25308035237378,0.000894947371377,2277.6886143431425
Diabetes mellitus,CHL,lower,0,1,0.0,0.0,13.77827704837616,0.0007326919460936,695.9435830410644
Diabetes mellitus,CHN,lower,0,1,0.0,0.0,902.5222316667345,0.0006517588787138,623.7322747116536
Diabetes mellitus,CIV,lower,0,1,0.0,0.0,5.442019016916153,0.0004136145796626,142.64907863761405
Diabetes mellitus,CMR,lower,0,1,0.0,0.0,3.0609329725381165,0.0005129644967673,80.49861104781952
Diabetes mellitus,COD,lower,0,1,0.0,0.0,5.18363634132489,0.0007370129085872,37.279122273152765
Diabetes mellitus,COG,lower,0,1,0.0,0.0,0.3176009008077802,0.0007195982477633,39.91381163127475
Diabetes mellitus,COK,lower,0,1,0.0,0.0,0.01904967985354585,0.0012703340806744718,1093.4449147798932
Diabetes mellitus,COL,lower,0,1,0.0,0.0,33.1549479598678,0.0010114635193997,612.8910541337851
Diabetes mellitus,COM,lower,0,1,0.0,0.0,0.074060276943089,0.0005704423061077,63.49113678913467
Diabetes mellitus,CPV,lower,0,1,0.0,0.0,0.1081034280067396,0.0006056672660598,172.27389072076264
Diabetes mellitus,CRI,lower,0,1,0.0,0.0,6.022141418186234,0.0011603261947245,1087.0452203661243
Diabetes mellitus,CUB,lower,0,1,0.0,0.0,7.27476880528717,0.0010619531625859,667.6489506686682
Diabetes mellitus,CYP,lower,0,1,0.0,0.0,1.0713257360465545,0.0005173100759488,827.5584401142016
Diabetes mellitus,CZE,lower,0,1,0.0,0.0,43.36419030803412,0.0020968819285068,4063.887228513282
Diabetes mellitus,DEU,lower,0,1,0.0,0.0,282.8862252262632,0.0017246991312769,3432.6112282877225
Diabetes mellitus,DJI,lower,0,1,0.0,0.0,0.3269465015877685,0.0007083259355914,281.87184713868766
Diabetes mellitus,DMA,lower,0,1,0.0,0.0,0.0324626118998869,0.0011465629207130883,447.89567873549913
