disease,Country Code,scenario,ConsiderTC,ConsiderMB,informal,discount,GDPloss,tax,pc_loss
Diabetes mellitus,HRV,lower,0,1,0.0,0.02,2.945919788894913,0.0007693724328273,785.9958135691921
Diabetes mellitus,HUN,lower,0,1,0.0,0.02,13.49393135884491,0.0011572847875987,1481.8606771822258
Diabetes mellitus,IDN,lower,0,1,0.0,0.02,236.94682975463525,0.0016202130364123,771.6284576327016
Diabetes mellitus,IND,lower,0,1,0.0,0.02,498.5213001321377,0.000990275283376,324.2770890211777
Diabetes mellitus,IRL,lower,0,1,0.0,0.02,28.07827309867627,0.0007232376393643,5243.9230001215055
Diabetes mellitus,IRQ,lower,0,1,0.0,0.02,7.135201695585999,0.0005093027561631,128.68020536325642
Diabetes mellitus,ISL,lower,0,1,0.0,0.02,0.5580016745342483,0.0008006446126001,1533.6036128466355
Diabetes mellitus,ISR,lower,0,1,0.0,0.02,13.486069531606995,0.0009452472975839,1264.3059562174449
Diabetes mellitus,ITA,lower,0,1,0.0,0.02,38.71295013603394,0.0006442861590222,668.3022528484813
Diabetes mellitus,JAM,lower,0,1,0.0,0.02,1.2815621902028085,0.0018761095371848,423.97507436198174
Diabetes mellitus,JOR,lower,0,1,0.0,0.02,1.3430542501634826,0.0004236980189047,118.1988675876198
Diabetes mellitus,JPN,lower,0,1,0.0,0.02,99.96667303074902,0.0007754082197138,855.7299152075442
Diabetes mellitus,KAZ,lower,0,1,0.0,0.02,10.323390060380737,0.0006225406596635,480.3905524035126
Diabetes mellitus,KEN,lower,0,1,0.0,0.02,4.417096665734497,0.0003985621818346,60.61186242786008
Diabetes mellitus,KGZ,lower,0,1,0.0,0.02,0.8344200529145355,0.0007294209910763,106.07394535113863
Diabetes mellitus,KHM,lower,0,1,0.0,0.02,3.737972161986832,0.0009273246777711,191.12565120313
Diabetes mellitus,KOR,lower,0,1,0.0,0.02,65.08214063723437,0.0008851587328877,1299.706219452458
Diabetes mellitus,KWT,lower,0,1,0.0,0.02,2.675992508214585,0.0005417493251444,544.0131609284905
Diabetes mellitus,LAO,lower,0,1,0.0,0.02,2.600157566244125,0.0009320150062958,304.5256016786122
Diabetes mellitus,LBN,lower,0,1,0.0,0.02,0.2013445405136757,0.0004523726771851,31.46821670529668
Diabetes mellitus,LKA,lower,0,1,0.0,0.02,20.14288784225586,0.0020638066412292,916.7810488451438
Diabetes mellitus,LSO,lower,0,1,0.0,0.02,0.1232639700064549,0.0010402654916528,51.101511387523225
Diabetes mellitus,LTU,lower,0,1,0.0,0.02,2.1186487865994263,0.0005653666309864,885.2554563702183
Diabetes mellitus,LUX,lower,0,1,0.0,0.02,1.0725981179184725,0.000449029451975,1499.9218319098431
Diabetes mellitus,LVA,lower,0,1,0.0,0.02,1.7577400880771332,0.0008960675217992,1058.7791249650809
Diabetes mellitus,MAR,lower,0,1,0.0,0.02,4.577520399207764,0.000509516529596,108.51190671270194
Diabetes mellitus,MDA,lower,0,1,0.0,0.02,0.8542036814381866,0.0007008223472115,228.07815226178823
Diabetes mellitus,MDG,lower,0,1,0.0,0.02,0.723344565178093,0.0004637297863274,17.962879546306652
Diabetes mellitus,MDV,lower,0,1,0.0,0.02,0.2080529796103773,0.0006259110178996,380.87441259688825
Diabetes mellitus,MEX,lower,0,1,0.0,0.02,100.42727045339552,0.0015233734790151,695.3844161569942
Diabetes mellitus,MKD,lower,0,1,0.0,0.02,1.245739254232216,0.0011314987900187,623.485590654798
Diabetes mellitus,MLI,lower,0,1,0.0,0.02,0.6833282912866974,0.0003288797217502,21.89111606521443
Diabetes mellitus,MLT,lower,0,1,0.0,0.02,1.0234555091081847,0.0009445846210999,2317.6641305935414
Diabetes mellitus,MNG,lower,0,1,0.0,0.02,0.5204664760745087,0.0003205062851622,133.67509201093063
Diabetes mellitus,MOZ,lower,0,1,0.0,0.02,0.931451080070755,0.0005096003116146,19.68317175752756
Diabetes mellitus,MRT,lower,0,1,0.0,0.02,0.2649593390355492,0.0002494979084913,39.323149247133735
Diabetes mellitus,MUS,lower,0,1,0.0,0.02,1.6735020706297532,0.0020169235805192,1337.9299131632206
Diabetes mellitus,MYS,lower,0,1,0.0,0.02,23.33007276695764,0.0006363337697338,627.9416059311653
Diabetes mellitus,NAM,lower,0,1,0.0,0.02,0.2260717200264816,0.0003920064951069,69.42530803324708
Diabetes mellitus,NER,lower,0,1,0.0,0.02,0.4820561225331459,0.0002708239025956,11.300915618430531
Diabetes mellitus,NGA,lower,0,1,0.0,0.02,6.740094815949097,0.0002236515900178,22.604523660420288
Diabetes mellitus,NLD,lower,0,1,0.0,0.02,19.670841592177368,0.0006816677266314,1132.587636833476
Diabetes mellitus,NOR,lower,0,1,0.0,0.02,7.309528184839844,0.000723468024022,1207.1422585520363
Diabetes mellitus,NPL,lower,0,1,0.0,0.02,3.439006156113022,0.0006475191597495,102.28902737285192
Diabetes mellitus,NZL,lower,0,1,0.0,0.02,5.896539008105133,0.0007715686833233,1117.1325294176263
Diabetes mellitus,OMN,lower,0,1,0.0,0.02,4.578248097873108,0.0009732942464469,745.8059309597022
Diabetes mellitus,PAK,lower,0,1,0.0,0.02,47.60401314570886,0.0010852753105194,168.9765425915358
Diabetes mellitus,PAN,lower,0,1,0.0,0.02,4.858992554001327,0.001067098977242,942.1047724137982
Diabetes mellitus,PER,lower,0,1,0.0,0.02,4.7561360585021975,0.0003715710248593,128.1205551794422
Diabetes mellitus,PHL,lower,0,1,0.0,0.02,41.828905208130735,0.0008928319558729,324.4317790068884
Diabetes mellitus,POL,lower,0,1,0.0,0.02,56.70231705198804,0.0011522284665371,1576.6310662141773
Diabetes mellitus,PRT,lower,0,1,0.0,0.02,5.239858084107727,0.0005222669035834,539.6942251291425
Diabetes mellitus,PRY,lower,0,1,0.0,0.02,2.7865902363572386,0.0009025918267192,338.3296804008266
Diabetes mellitus,QAT,lower,0,1,0.0,0.02,3.4080019657969665,0.0004718482971363,988.630900364005
Diabetes mellitus,ROU,lower,0,1,0.0,0.02,-9743.14946365773,-0.4303823285436055,-547761.9587876473
Diabetes mellitus,RUS,lower,0,1,0.0,0.02,40.5177988889292,0.0004402140844343,287.057350969567
Diabetes mellitus,RWA,lower,0,1,0.0,0.02,1.0700912534138791,0.0005921272606009,59.59855693211977
Diabetes mellitus,SAU,lower,0,1,0.0,0.02,22.22340509889038,0.0004663528423087,547.7503816551913
Diabetes mellitus,SDN,lower,0,1,0.0,0.02,2.1690606955959777,0.0004126156439483,35.0746810779544
Diabetes mellitus,SEN,lower,0,1,0.0,0.02,1.3760609997873534,0.0004231595293813,56.16393862069741
Diabetes mellitus,SGP,lower,0,1,0.0,0.02,11.040444212747436,0.000592294957058,1755.248571821234
Diabetes mellitus,SLE,lower,0,1,0.0,0.02,0.0866820724357528,0.0002357892491178,8.266946590003254
Diabetes mellitus,SLV,lower,0,1,0.0,0.02,1.944744721293541,0.0011923709642647,285.41671277520464
Diabetes mellitus,SRB,lower,0,1,0.0,0.02,6.81448726495047,0.0014171735023762,857.1395094267916
Diabetes mellitus,SUR,lower,0,1,0.0,0.02,0.2732139470343513,0.0013794092528732,424.23023578882936
Diabetes mellitus,SVK,lower,0,1,0.0,0.02,6.86321373262674,0.0011810082074467,1298.5284637191048
Diabetes mellitus,SVN,lower,0,1,0.0,0.02,1.8877274695249329,0.000660039248795,932.1109136270596
Diabetes mellitus,SWE,lower,0,1,0.0,0.02,9.496091484293824,0.0005589526980976,879.4054851666011
Diabetes mellitus,SWZ,lower,0,1,0.0,0.02,0.2124365808214759,0.0007182060916265,150.4103884853992
Diabetes mellitus,TGO,lower,0,1,0.0,0.02,0.5026910549497529,0.0005537186382396,42.98655848858013
Diabetes mellitus,THA,lower,0,1,0.0,0.02,23.19867816870703,0.0005599726516637,335.33818266094534
Diabetes mellitus,TJK,lower,0,1,0.0,0.02,2.2291015796003117,0.0011052660836732,174.68161673938826
Diabetes mellitus,TUN,lower,0,1,0.0,0.02,1.9280543580494995,0.0005804730982953,148.43044678764534
Diabetes mellitus,TUR,lower,0,1,0.0,0.02,40.66492330986377,0.0003994164243993,444.7515757609206
Diabetes mellitus,TZA,lower,0,1,0.0,0.02,6.042327695871308,0.0006570069975546,65.75397477091522
Diabetes mellitus,UGA,lower,0,1,0.0,0.02,3.201052746408005,0.0006082563029489,47.68675669750432
Diabetes mellitus,UKR,lower,0,1,0.0,0.02,0.6094698156954383,0.0002096913757348,15.44648727628204
Diabetes mellitus,URY,lower,0,1,0.0,0.02,0.7383787737143402,0.000354911784936,205.921166471764
Diabetes mellitus,USA,lower,0,1,0.0,0.02,996.8978388656408,0.0016034784200792,2790.1650913270246
Diabetes mellitus,UZB,lower,0,1,0.0,0.02,21.07775815145401,0.001609646489513,543.1100420317645
Diabetes mellitus,VNM,lower,0,1,0.0,0.02,53.58871435851599,0.0010641051480085,509.012877861677
Diabetes mellitus,ZAF,lower,0,1,0.0,0.02,15.173825260461548,0.0007708060652738,222.0756982058076
Diabetes mellitus,ZMB,lower,0,1,0.0,0.02,1.4543667721435776,0.0006631964338538,51.78573683838727
Diabetes mellitus,ZWE,lower,0,1,0.0,0.02,0.7315561722819519,0.0004974993523187,37.95181819897687
Diabetes mellitus,AGO,upper,0,1,0.0,0.02,7.682267372829041,0.0015510944183841,144.69046230572312
Diabetes mellitus,ALB,upper,0,1,0.0,0.02,1.9377767960784305,0.001451967032077,719.1933948612508
Diabetes mellitus,ARG,upper,0,1,0.0,0.02,27.695438762009704,0.0012079800833844,548.4556473978655
Diabetes mellitus,ARM,upper,0,1,0.0,0.02,3.2985729850441894,0.0021826506154948,1128.1261472533702
Diabetes mellitus,ATG,upper,0,1,0.0,0.02,,,
Diabetes mellitus,AUS,upper,0,1,0.0,0.02,54.69662445941577,0.0013441629269693,1865.7577569662055
Diabetes mellitus,AUT,upper,0,1,0.0,0.02,14.265766114084531,0.0010670210239446,1557.3779412209044
Diabetes mellitus,AZE,upper,0,1,0.0,0.02,7.65085041470401,0.0020256604188018,707.1333046916528
Diabetes mellitus,BDI,upper,0,1,0.0,0.02,0.2418149568101577,0.0009491319515262,13.301577834261796
Diabetes mellitus,BEL,upper,0,1,0.0,0.02,21.00899734466504,0.0013153626566106,1753.1182697806614
Diabetes mellitus,BEN,upper,0,1,0.0,0.02,2.6347144633871764,0.0012744670245575,147.55762150243575
Diabetes mellitus,BFA,upper,0,1,0.0,0.02,3.834385803492935,0.0016241622092664,121.77368199415298
Diabetes mellitus,BGD,upper,0,1,0.0,0.02,95.11770169556324,0.0017415444001735,521.7590015749544
Diabetes mellitus,BGR,upper,0,1,0.0,0.02,19.14379168668808,0.0035281355723473,3112.1094443391235
Diabetes mellitus,BHR,upper,0,1,0.0,0.02,3.295444830370583,0.0014247665432647,1585.0720339909517
Diabetes mellitus,BHS,upper,0,1,0.0,0.02,1.3086924812510738,0.0040111540899538,3003.44419093415
Diabetes mellitus,BIH,upper,0,1,0.0,0.02,5.535766428735894,0.0033436533302637,1837.254922497844
Diabetes mellitus,BLR,upper,0,1,0.0,0.02,3.352286592765503,0.0008001668941736,368.941749427968
Diabetes mellitus,BLZ,upper,0,1,0.0,0.02,0.2997589682348299,0.0044249611602769,607.5548682523432
Diabetes mellitus,BOL,upper,0,1,0.0,0.02,8.261892324012832,0.0024653878583443,594.6638297666981
Diabetes mellitus,BRA,upper,0,1,0.0,0.02,78.56448814552954,0.0010756743296963,349.34371369527133
Diabetes mellitus,BRB,upper,0,1,0.0,0.02,0.5961632512972846,0.0061857380687826,2081.681342190164
Diabetes mellitus,BRN,upper,0,1,0.0,0.02,3.192728135857952,0.0042431750658171,6710.410270161812
Diabetes mellitus,BTN,upper,0,1,0.0,0.02,0.9043092277559776,0.0024112950923854,1055.5080687631569
Diabetes mellitus,BWA,upper,0,1,0.0,0.02,1.7783428585869332,0.0014464972803404,600.663793216971
Diabetes mellitus,CAN,upper,0,1,0.0,0.02,74.10483615672045,0.0014356945024563,1763.0979260903323
Diabetes mellitus,CHE,upper,0,1,0.0,0.02,32.21023662318823,0.0018604119497678,3451.9649860421355
Diabetes mellitus,CHL,upper,0,1,0.0,0.02,20.16895540930316,0.0014761594474533,1018.7380500815352
Diabetes mellitus,CHN,upper,0,1,0.0,0.02,1307.0948170294882,0.001333190048449,903.3320120923792
Diabetes mellitus,CIV,upper,0,1,0.0,0.02,9.403868507103958,0.0010591495218263,246.4991713549396
Diabetes mellitus,CMR,upper,0,1,0.0,0.02,5.840007002957062,0.0013941602175546,153.58469344651047
Diabetes mellitus,COD,upper,0,1,0.0,0.02,9.14823175754042,0.0018692373447155,65.79127620386316
Diabetes mellitus,COG,upper,0,1,0.0,0.02,0.6355243258718991,0.0018243033310313,79.86815580632148
Diabetes mellitus,COL,upper,0,1,0.0,0.02,54.20367998789453,0.0022971211723862,1001.9907316978188
Diabetes mellitus,COM,upper,0,1,0.0,0.02,0.1414074948878374,0.0015219952673568,121.22723505114232
Diabetes mellitus,CPV,upper,0,1,0.0,0.02,0.1765574176943292,0.001403362392753,281.3623382962162
Diabetes mellitus,CRI,upper,0,1,0.0,0.02,9.474512939375687,0.0025648846615888,1710.2261954431635
Diabetes mellitus,CYP,upper,0,1,0.0,0.02,1.5795757042717438,0.0010970441343707,1220.1622362711648
Diabetes mellitus,CZE,upper,0,1,0.0,0.02,63.875726531673216,0.0043598185403447,5986.13158507379
Diabetes mellitus,DEU,upper,0,1,0.0,0.02,386.4164130530864,0.0032225485140524,4688.872062186032
Diabetes mellitus,DJI,upper,0,1,0.0,0.02,0.6111127826464005,0.001951655329399,526.8613917508532
Diabetes mellitus,DNK,upper,0,1,0.0,0.02,13.869881888369385,0.0013628257490531,2289.6740748948664
Diabetes mellitus,DOM,upper,0,1,0.0,0.02,38.38917558447519,0.0040034253060211,3193.919351405208
Diabetes mellitus,ECU,upper,0,1,0.0,0.02,6.841359031333542,0.0014211889636028,330.41587516569246
Diabetes mellitus,ESP,upper,0,1,0.0,0.02,77.94328816775806,0.0014641755818986,1709.602876191637
Diabetes mellitus,EST,upper,0,1,0.0,0.02,3.790706436982765,0.0021618390860002,3037.6810748669063
Diabetes mellitus,ETH,upper,0,1,0.0,0.02,21.769535496071565,0.001015598345965,135.89231858442471
Diabetes mellitus,FIN,upper,0,1,0.0,0.02,12.516395725109955,0.0016769738498896,2254.6161481779363
Diabetes mellitus,FJI,upper,0,1,0.0,0.02,2.6852106529311017,0.0082734985985334,2705.2217014480098
Diabetes mellitus,FRA,upper,0,1,0.0,0.02,66.67449841446972,0.0008366002425394,996.0699712724988
Diabetes mellitus,GAB,upper,0,1,0.0,0.02,1.4704005862942238,0.0014306666178453,488.6504379055575
Diabetes mellitus,GBR,upper,0,1,0.0,0.02,187.16472298697263,0.0022441714147986,2622.983264440502
Diabetes mellitus,GEO,upper,0,1,0.0,0.02,2.5087101216691896,0.0011444436581906,665.933712469456
Diabetes mellitus,GHA,upper,0,1,0.0,0.02,17.47987049592554,0.002109876448341,422.1021497073573
Diabetes mellitus,GIN,upper,0,1,0.0,0.02,3.0194126949764253,0.0013429962724217,156.51976009771258
Diabetes mellitus,GMB,upper,0,1,0.0,0.02,0.280029153571908,0.0011178318613274,77.65889812681321
Diabetes mellitus,GNB,upper,0,1,0.0,0.02,0.2666094436342768,0.0016116233298235,97.3584714008351
Diabetes mellitus,GRC,upper,0,1,0.0,0.02,7.348423089190857,0.0009501211180932,756.1331600829308
Diabetes mellitus,GTM,upper,0,1,0.0,0.02,14.644474009337326,0.0027054007415147,646.5944414450636
Diabetes mellitus,HND,upper,0,1,0.0,0.02,4.5920938904927135,0.0023450276879508,381.242553068677
Diabetes mellitus,HRV,upper,0,1,0.0,0.02,7.246830940268844,0.0018926217787126,1933.51455194634
Diabetes mellitus,HUN,upper,0,1,0.0,0.02,31.196527285115355,0.0026755187567565,3425.903527970225
Diabetes mellitus,IDN,upper,0,1,0.0,0.02,508.7622784655996,0.0034788533649444,1656.8082073122987
Diabetes mellitus,IND,upper,0,1,0.0,0.02,1076.1898662622723,0.0021377706920381,700.0377255156778
Diabetes mellitus,IRL,upper,0,1,0.0,0.02,64.00197792019678,0.0016485572051735,11953.065734830085
Diabetes mellitus,IRQ,upper,0,1,0.0,0.02,17.420179477662902,0.0012434330239492,314.16522871906665
Diabetes mellitus,ISL,upper,0,1,0.0,0.02,1.2481520267031516,0.0017909017866657,3430.402711840461
Diabetes mellitus,ISR,upper,0,1,0.0,0.02,27.740284461856323,0.0019443344007921,2600.624799545431
Diabetes mellitus,ITA,upper,0,1,0.0,0.02,78.62271787464209,0.0013084905369739,1357.2651863539138
Diabetes mellitus,JAM,upper,0,1,0.0,0.02,3.13819093213258,0.0045940727514356,1038.1975560643314
Diabetes mellitus,JOR,upper,0,1,0.0,0.02,3.427752231594055,0.0010813649781057,301.66795726683154
Diabetes mellitus,JPN,upper,0,1,0.0,0.02,205.9104455789585,0.0015971788115601,1762.6247107516604
Diabetes mellitus,KAZ,upper,0,1,0.0,0.02,24.164163460775207,0.0014571932449614,1124.4596751062268
Diabetes mellitus,KEN,upper,0,1,0.0,0.02,9.42474392219458,0.0008504107528373,129.32732182687647
Diabetes mellitus,KGZ,upper,0,1,0.0,0.02,1.8733357597752227,0.001637604970951,238.14398313253815
Diabetes mellitus,KHM,upper,0,1,0.0,0.02,9.496096068099938,0.0023558132176548,485.5433551271794
Diabetes mellitus,KOR,upper,0,1,0.0,0.02,147.5982559622754,0.0020074306706081,2947.57316486843
Diabetes mellitus,KWT,upper,0,1,0.0,0.02,6.437690487863953,0.0013032975490713,1308.743705608801
Diabetes mellitus,LAO,upper,0,1,0.0,0.02,7.150547906529373,0.0025630823449477,837.4588262791276
Diabetes mellitus,LBN,upper,0,1,0.0,0.02,0.5182104382197742,0.0011642940140551,80.9913113474214
Diabetes mellitus,LKA,upper,0,1,0.0,0.02,55.361664924772064,0.0056722637109445,2519.724362912493
Diabetes mellitus,LSO,upper,0,1,0.0,0.02,0.3745714704200544,0.0031611327690908,155.28599525156756
Diabetes mellitus,LTU,upper,0,1,0.0,0.02,4.895460207376861,0.001306365577003,2045.5173540016417
Diabetes mellitus,LUX,upper,0,1,0.0,0.02,2.5209971213291933,0.0010553831271101,3525.363840654193
Diabetes mellitus,LVA,upper,0,1,0.0,0.02,4.214069894637764,0.0021482648047855,2538.3555087869568
Diabetes mellitus,MAR,upper,0,1,0.0,0.02,11.408998786102725,0.0012699175450242,270.4547667722404
Diabetes mellitus,MDA,upper,0,1,0.0,0.02,1.936440711613304,0.0015887322359275,517.0427487805495
Diabetes mellitus,MDG,upper,0,1,0.0,0.02,1.9373695895630876,0.0012420304638414,48.11087032281924
Diabetes mellitus,MDV,upper,0,1,0.0,0.02,0.4974806508500681,0.0014966313923601,910.7182748628444
Diabetes mellitus,MEX,upper,0,1,0.0,0.02,198.108786690292,0.0030050968252086,1371.7565193821456
Diabetes mellitus,MKD,upper,0,1,0.0,0.02,3.222668115858806,0.0029271334762373,1612.927526265513
Diabetes mellitus,MLI,upper,0,1,0.0,0.02,2.034493830547478,0.0009791834663148,65.1770768843982
Diabetes mellitus,MLT,upper,0,1,0.0,0.02,2.274262633186905,0.0020990003850021,5150.176907132497
Diabetes mellitus,MNG,upper,0,1,0.0,0.02,1.3521359023431705,0.0008326531583035,347.2786422676928
Diabetes mellitus,MOZ,upper,0,1,0.0,0.02,2.7569219436354064,0.0015083221348211,58.25852725894132
Diabetes mellitus,MRT,upper,0,1,0.0,0.02,0.7750498208182373,0.0007298225832485,115.0267051878126
Diabetes mellitus,MUS,upper,0,1,0.0,0.02,3.826083643461956,0.0046112391833693,3058.8738709632657
Diabetes mellitus,MYS,upper,0,1,0.0,0.02,64.28975739608423,0.0017535197634301,1730.3938100612545
Diabetes mellitus,NAM,upper,0,1,0.0,0.02,0.6368338331776753,0.0011042646062951,195.56795971284964
Diabetes mellitus,NER,upper,0,1,0.0,0.02,1.3775227627390825,0.0007739059272993,32.29347741167062
Diabetes mellitus,NGA,upper,0,1,0.0,0.02,15.643980218110352,0.000519102645516,52.46583774261448
Diabetes mellitus,NLD,upper,0,1,0.0,0.02,42.3040428602334,0.0014659922194342,2435.738995052845
Diabetes mellitus,NOR,upper,0,1,0.0,0.02,14.50465897847168,0.0014356134493102,2395.3921998842416
Diabetes mellitus,NPL,upper,0,1,0.0,0.02,8.877152350293853,0.0016714498229708,264.04002741841634
Diabetes mellitus,NZL,upper,0,1,0.0,0.02,11.660597552193664,0.0015258021506755,2209.165888684448
Diabetes mellitus,OMN,upper,0,1,0.0,0.02,11.070482059019378,0.0023534846218672,1803.4040536237596
Diabetes mellitus,PAK,upper,0,1,0.0,0.02,115.57755899338964,0.0026349348077376,410.2573507845676
Diabetes mellitus,PAN,upper,0,1,0.0,0.02,12.18456869983931,0.0026758923075581,2362.4527501013463
Diabetes mellitus,PER,upper,0,1,0.0,0.02,12.439479154235778,0.0009718288041389,335.09406707042166
Diabetes mellitus,PHL,upper,0,1,0.0,0.02,95.52624297770862,0.0020389938950255,740.9170475988955
Diabetes mellitus,POL,upper,0,1,0.0,0.02,125.64262145434935,0.0025531409045828,3493.54436510756
