Region,country,WBCountry,totalloss,pc_loss,tax %
East Asia & Pacific,American Samoa,American Samoa,771(679-877),14157(12476-16109),3.83(3.38-4.36)
East Asia & Pacific,Australia,Australia,465607(406905-532193),15882(13880-18154),1.33(1.17-1.52)
East Asia & Pacific,Brunei Darussalam,Brunei Darussalam,19938(16899-23617),41906(35518-49637),3.05(2.58-3.61)
East Asia & Pacific,Cambodia,Cambodia,52002(43559-62135),2659(2227-3177),1.55(1.3-1.86)
East Asia & Pacific,China,China,12197130(10556537-14159530),8429(7296-9786),1.46(1.27-1.7)
East Asia & Pacific,Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",18973(15986-22372),714(601-841),1.55(1.31-1.83)
East Asia & Pacific,Fiji,Fiji,13980(11898-16317),14084(11987-16439),5.05(4.3-5.89)
East Asia & Pacific,Guam,Guam,3945(3402-4593),21440(18487-24963),2.23(1.92-2.59)
East Asia & Pacific,Indonesia,Indonesia,1419405(1184080-1702282),4622(3856-5544),1.15(0.96-1.38)
East Asia & Pacific,Japan,Japan,1718587(1510155-1960432),14711(12927-16782),1.53(1.35-1.75)
East Asia & Pacific,Kiribati,Kiribati,177(153-206),1195(1031-1390),2.39(2.06-2.78)
East Asia & Pacific,Lao People's Democratic Republic,Lao PDR,33828(27909-41010),3962(3269-4803),1.45(1.2-1.76)
East Asia & Pacific,Malaysia,Malaysia,531291(433314-638379),14300(11663-17182),1.72(1.4-2.07)
East Asia & Pacific,Marshall Islands,Marshall Islands,215(187-248),3164(2760-3652),3.37(2.94-3.89)
East Asia & Pacific,Micronesia (Federated States of),"Micronesia, Fed. Sts.",223(193-259),1724(1490-2000),2.46(2.13-2.85)
East Asia & Pacific,Mongolia,Mongolia,8838(7487-10544),2270(1923-2708),0.65(0.55-0.77)
East Asia & Pacific,Myanmar,Myanmar,136743(118082-158560),2302(1988-2669),1.55(1.34-1.8)
East Asia & Pacific,Nauru,Nauru,67(57-79),6137(5234-7198),1.83(1.56-2.14)
East Asia & Pacific,New Zealand,New Zealand,85993(75099-98175),16292(14228-18600),1.32(1.15-1.51)
East Asia & Pacific,Northern Mariana Islands,Northern Mariana Islands,1160(1007-1335),18913(16416-21769),3.05(2.65-3.51)
East Asia & Pacific,Palau,Palau,226(199-259),12392(10887-14203),3.67(3.23-4.21)
East Asia & Pacific,Papua New Guinea,Papua New Guinea,21378(18239-25015),1844(1573-2158),1.87(1.59-2.18)
East Asia & Pacific,Philippines,Philippines,483636(416794-554678),3751(3233-4302),1.24(1.07-1.42)
East Asia & Pacific,Republic of Korea,"Korea, Rep.",1198784(988036-1440249),23940(19731-28762),1.9(1.57-2.29)
East Asia & Pacific,Samoa,Samoa,745(641-865),3207(2760-3723),2.21(1.9-2.57)
East Asia & Pacific,Singapore,Singapore,217784(190282-250928),34624(30252-39893),1.37(1.2-1.58)
East Asia & Pacific,Solomon Islands,Solomon Islands,858(737-1004),883(758-1033),1.85(1.59-2.16)
East Asia & Pacific,Taiwan (Province of China),,727378(643453-822888),30813(27258-34859),2.08(1.84-2.35)
East Asia & Pacific,Thailand,Thailand,639401(554379-739812),9243(8014-10694),1.81(1.57-2.1)
East Asia & Pacific,Timor-Leste,Timor-Leste,1263(1056-1501),750(627-891),1.07(0.9-1.28)
East Asia & Pacific,Tonga,Tonga,380(329-440),3155(2730-3649),2.18(1.89-2.52)
East Asia & Pacific,Tuvalu,Tuvalu,56(49-65),4056(3501-4703),2.58(2.22-2.99)
East Asia & Pacific,Vanuatu,Vanuatu,490(420-572),1147(983-1339),1.94(1.66-2.26)
East Asia & Pacific,Viet Nam,Vietnam,755336(639326-891985),7175(6073-8473),1.81(1.53-2.14)
Europe & Central Asia,Albania,Albania,14059(11895-16510),5218(4415-6128),1.23(1.04-1.45)
Europe & Central Asia,Andorra,Andorra,1997(1705-2344),25738(21971-30208),1.96(1.68-2.3)
Europe & Central Asia,Armenia,Armenia,42457(37070-47912),14520(12678-16386),3.33(2.91-3.76)
Europe & Central Asia,Austria,Austria,227796(193237-259431),24868(21095-28322),1.98(1.68-2.25)
Europe & Central Asia,Azerbaijan,Azerbaijan,65881(55383-78244),6089(5119-7232),2.01(1.69-2.38)
Europe & Central Asia,Belarus,Belarus,32039(26986-37419),3526(2970-4118),0.87(0.74-1.02)
Europe & Central Asia,Belgium,Belgium,321202(278604-369196),26803(23248-30808),2.33(2.02-2.68)
Europe & Central Asia,Bosnia and Herzegovina,Bosnia and Herzegovina,58288(49959-67537),19345(16581-22415),4.12(3.54-4.78)
Europe & Central Asia,Bulgaria,Bulgaria,98256(81889-119491),15973(13312-19425),2.12(1.77-2.58)
Europe & Central Asia,Croatia,Croatia,105274(91561-121490),28088(24429-32414),3.22(2.8-3.72)
Europe & Central Asia,Cyprus,Cyprus,24516(21546-27482),18937(16643-21229),2.02(1.78-2.27)
Europe & Central Asia,Czechia,Czech Republic,455685(390715-525913),42705(36616-49286),3.66(3.14-4.22)
Europe & Central Asia,Denmark,Denmark,167914(148128-188405),27720(24453-31102),1.92(1.7-2.16)
Europe & Central Asia,Estonia,Estonia,18886(16213-22096),15134(12992-17706),1.27(1.09-1.48)
Europe & Central Asia,Finland,Finland,175805(152779-199027),31668(27521-35851),2.73(2.37-3.09)
Europe & Central Asia,France,France,874369(747156-1019647),13062(11162-15233),1.27(1.09-1.48)
Europe & Central Asia,Georgia,Georgia,13490(11707-15503),3581(3108-4115),0.73(0.63-0.84)
Europe & Central Asia,Germany,Germany,3461737(3028937-3930966),42006(36754-47699),3.34(2.92-3.8)
Europe & Central Asia,Greece,Greece,123419(102721-140854),12700(10570-14493),1.84(1.53-2.1)
Europe & Central Asia,Greenland,Greenland,1147(972-1351),20494(17367-24137),1.55(1.32-1.83)
Europe & Central Asia,Hungary,Hungary,212750(186142-244934),23364(20442-26898),2.15(1.88-2.48)
Europe & Central Asia,Iceland,Iceland,10351(8893-12011),28449(24442-33010),1.75(1.51-2.03)
Europe & Central Asia,Ireland,Ireland,704861(619161-805214),131640(115635-150382),2.22(1.95-2.54)
Europe & Central Asia,Italy,Italy,1069642(928863-1227877),18465(16035-21197),2.05(1.78-2.35)
Europe & Central Asia,Kazakhstan,Kazakhstan,242860(206090-285706),11301(9590-13295),1.71(1.45-2.02)
Europe & Central Asia,Kyrgyzstan,Kyrgyz Republic,13934(11840-16241),1771(1505-2065),1.44(1.22-1.68)
Europe & Central Asia,Latvia,Latvia,21658(18575-25169),13046(11189-15160),1.29(1.11-1.5)
Europe & Central Asia,Lithuania,Lithuania,27067(23436-31288),11310(9792-13073),0.85(0.73-0.98)
Europe & Central Asia,Luxembourg,Luxembourg,55724(48326-63894),77924(67580-89349),2.72(2.36-3.12)
Europe & Central Asia,Monaco,Monaco,5382(4629-6268),125754(108162-146443),2.29(1.97-2.67)
Europe & Central Asia,Montenegro,Montenegro,8526(7331-9806),13869(11925-15951),2.48(2.13-2.85)
Europe & Central Asia,Netherlands,Netherlands,413477(364106-469391),23807(20964-27026),1.67(1.47-1.89)
Europe & Central Asia,North Macedonia,North Macedonia,33201(27598-39131),16617(13813-19585),3.53(2.93-4.16)
Europe & Central Asia,Norway,Norway,207441(186241-231125),34258(30757-38169),2.38(2.13-2.65)
Europe & Central Asia,Poland,Poland,1116002(966456-1275841),31031(26873-35475),2.68(2.32-3.06)
Europe & Central Asia,Portugal,Portugal,218599(183509-260275),22515(18901-26808),2.54(2.13-3.02)
Europe & Central Asia,Republic of Moldova,Moldova,20096(17090-23386),5366(4563-6244),1.94(1.65-2.26)
Europe & Central Asia,Romania,Romania,360151(304885-421630),20248(17141-23704),1.88(1.59-2.21)
Europe & Central Asia,Russian Federation,Russian Federation,904581(790993-1034108),6409(5604-7326),1.13(0.99-1.29)
Europe & Central Asia,San Marino,San Marino,1031(883-1207),30131(25804-35272),2.1(1.8-2.46)
Europe & Central Asia,Serbia,Serbia,108966(91865-125933),13706(11555-15840),2.66(2.24-3.07)
Europe & Central Asia,Slovakia,Slovak Republic,91487(77055-107168),17310(14579-20276),1.85(1.55-2.16)
Europe & Central Asia,Slovenia,Slovenia,54514(47443-61579),26917(23426-30406),2.24(1.95-2.53)
Europe & Central Asia,Spain,Spain,1112299(910158-1368894),24397(19963-30025),2.44(2.0-3.0)
Europe & Central Asia,Sweden,Sweden,266795(235534-303356),24707(21812-28093),1.83(1.62-2.08)
Europe & Central Asia,Switzerland,Switzerland,302500(259125-354035),32419(27770-37942),2.03(1.74-2.37)
Europe & Central Asia,Tajikistan,Tajikistan,36505(30792-42820),2861(2413-3356),2.18(1.84-2.55)
Europe & Central Asia,Turkey,Turkey,1039314(849150-1265785),11367(9287-13844),1.2(0.98-1.47)
Europe & Central Asia,Turkmenistan,Turkmenistan,29826(25294-35162),4219(3578-4973),1.35(1.15-1.6)
Europe & Central Asia,Ukraine,Ukraine,22012(19231-25051),558(487-635),0.8(0.7-0.91)
Europe & Central Asia,United Kingdom,United Kingdom,2160117(1913680-2435890),30273(26819-34137),3.01(2.66-3.39)
Europe & Central Asia,Uzbekistan,Uzbekistan,240889(202439-284760),6207(5216-7337),2.2(1.85-2.6)
Latin America & Caribbean,Antigua and Barbuda,Antigua and Barbuda,1271(1099-1466),11959(10346-13792),2.47(2.14-2.85)
Latin America & Caribbean,Argentina,Argentina,256105(221434-294525),5072(4385-5833),1.28(1.11-1.47)
Latin America & Caribbean,Bahamas,"Bahamas, The",6366(5394-7479),14610(12379-17164),2.26(1.91-2.65)
Latin America & Caribbean,Barbados,Barbados,2600(2175-3081),9080(7594-10760),3.11(2.6-3.69)
Latin America & Caribbean,Belize,Belize,1018(850-1208),2063(1723-2448),1.74(1.46-2.07)
