Region,country,WBCountry,totalloss,pc_loss,tax %
East Asia & Pacific,American Samoa,American Samoa,3835(3401-4333),70437(62466-79579),16.28(14.44-18.4)
East Asia & Pacific,Australia,Australia,1958774(1710056-2207295),66816(58332-75293),4.81(4.2-5.42)
East Asia & Pacific,Brunei Darussalam,Brunei Darussalam,79908(69461-91842),167950(145992-193031),10.62(9.23-12.21)
East Asia & Pacific,Cambodia,Cambodia,216918(185556-253005),11091(9488-12936),5.38(4.6-6.28)
East Asia & Pacific,China,China,46046083(40287324-53128515),31822(27843-36717),4.7(4.11-5.42)
East Asia & Pacific,Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",76820(65565-89118),2889(2466-3352),5.37(4.58-6.22)
East Asia & Pacific,Fiji,Fiji,49853(44071-55983),50224(44399-56400),15.36(13.58-17.25)
East Asia & Pacific,Guam,Guam,17345(15127-19949),94266(82212-108422),8.36(7.29-9.62)
East Asia & Pacific,Indonesia,Indonesia,5191665(4487691-6045748),16907(14614-19688),3.55(3.07-4.13)
East Asia & Pacific,Japan,Japan,8097064(7178274-9187587),69312(61447-78647),6.28(5.57-7.13)
East Asia & Pacific,Kiribati,Kiribati,789(688-908),5323(4639-6124),9.12(7.95-10.49)
East Asia & Pacific,Lao People's Democratic Republic,Lao PDR,138904(118615-162481),16268(13892-19029),4.98(4.25-5.82)
East Asia & Pacific,Malaysia,Malaysia,2359028(1963958-2757258),63495(52861-74213),6.43(5.36-7.52)
East Asia & Pacific,Marshall Islands,Marshall Islands,1037(910-1190),15290(13421-17537),13.93(12.23-15.98)
East Asia & Pacific,Micronesia (Federated States of),"Micronesia, Fed. Sts.",995(868-1141),7677(6702-8804),9.46(8.25-10.84)
East Asia & Pacific,Mongolia,Mongolia,31926(27475-37531),8200(7056-9639),1.97(1.69-2.31)
East Asia & Pacific,Myanmar,Myanmar,565808(497486-642833),9524(8374-10821),5.38(4.73-6.11)
East Asia & Pacific,Nauru,Nauru,279(241-323),25498(22022-29481),6.56(5.66-7.58)
East Asia & Pacific,New Zealand,New Zealand,390642(344771-441643),74009(65319-83672),5.11(4.51-5.78)
East Asia & Pacific,Northern Mariana Islands,Northern Mariana Islands,5481(4792-6254),89367(78124-101962),12.33(10.78-14.07)
East Asia & Pacific,Palau,Palau,1100(973-1253),60227(53251-68603),15.46(13.67-17.61)
East Asia & Pacific,Papua New Guinea,Papua New Guinea,90857(78475-104784),7837(6769-9038),6.73(5.82-7.77)
East Asia & Pacific,Philippines,Philippines,1776215(1546171-2020981),13777(11992-15675),3.79(3.3-4.31)
East Asia & Pacific,Republic of Korea,"Korea, Rep.",5721154(4706612-6773857),114253(93992-135276),7.78(6.4-9.21)
East Asia & Pacific,Samoa,Samoa,3273(2849-3751),14084(12258-16141),8.29(7.22-9.5)
East Asia & Pacific,Singapore,Singapore,945613(842670-1073735),150337(133971-170706),5.07(4.52-5.76)
East Asia & Pacific,Solomon Islands,Solomon Islands,3625(3156-4180),3727(3245-4298),6.66(5.8-7.68)
East Asia & Pacific,Taiwan (Province of China),,3148931(2836029-3489359),133396(120141-147817),7.69(6.93-8.53)
East Asia & Pacific,Thailand,Thailand,3163167(2767380-3630478),45724(40003-52479),7.64(6.68-8.76)
East Asia & Pacific,Timor-Leste,Timor-Leste,4633(3944-5389),2750(2341-3198),3.41(2.91-3.97)
East Asia & Pacific,Tonga,Tonga,1655(1450-1886),13730(12031-15654),8.16(7.15-9.31)
East Asia & Pacific,Tuvalu,Tuvalu,262(228-301),18882(16450-21671),10.01(8.72-11.48)
East Asia & Pacific,Vanuatu,Vanuatu,2095(1817-2409),4903(4253-5639),7.06(6.13-8.13)
East Asia & Pacific,Viet Nam,Vietnam,3743980(3243420-4297678),35562(30808-40822),7.43(6.44-8.53)
Europe & Central Asia,Albania,Albania,67556(58125-77718),25073(21573-28844),5.06(4.36-5.82)
Europe & Central Asia,Andorra,Andorra,8531(7367-9886),109955(94944-127415),7.16(6.19-8.3)
Europe & Central Asia,Armenia,Armenia,186526(168047-206969),63793(57473-70784),12.34(11.12-13.7)
Europe & Central Asia,Austria,Austria,1092961(925435-1234526),119317(101029-134772),8.17(6.92-9.23)
Europe & Central Asia,Azerbaijan,Azerbaijan,261761(225582-303462),24193(20850-28048),6.93(5.97-8.03)
Europe & Central Asia,Belarus,Belarus,135954(116671-154885),14963(12840-17046),3.25(2.78-3.7)
Europe & Central Asia,Belgium,Belgium,1545685(1346094-1766429),128981(112326-147402),9.68(8.43-11.06)
Europe & Central Asia,Bosnia and Herzegovina,Bosnia and Herzegovina,291388(254437-330552),96708(84445-109706),17.6(15.37-19.97)
Europe & Central Asia,Bulgaria,Bulgaria,398218(330216-489719),64736(53681-79611),7.34(6.09-9.03)
Europe & Central Asia,Croatia,Croatia,547251(485020-619545),146011(129407-165300),14.29(12.67-16.18)
Europe & Central Asia,Cyprus,Cyprus,111687(98251-124297),86274(75895-96015),7.76(6.82-8.63)
Europe & Central Asia,Czechia,Czech Republic,2124442(1844191-2410394),199093(172829-225891),14.5(12.59-16.45)
Europe & Central Asia,Denmark,Denmark,770547(680711-859906),127204(112373-141955),7.57(6.69-8.45)
Europe & Central Asia,Estonia,Estonia,79516(69060-91128),63720(55342-73026),4.53(3.94-5.2)
Europe & Central Asia,Finland,Finland,821682(716583-920148),148012(129080-165749),11.01(9.6-12.33)
Europe & Central Asia,France,France,4172999(3561856-4901103),62342(53212-73219),5.24(4.47-6.15)
Europe & Central Asia,Georgia,Georgia,254815(220207-284531),67640(58454-75528),11.62(10.05-12.98)
Europe & Central Asia,Germany,Germany,16132774(14138670-18224830),195759(171562-221145),13.45(11.79-15.2)
Europe & Central Asia,Greece,Greece,616381(513075-692253),63424(52794-71231),7.97(6.63-8.95)
Europe & Central Asia,Greenland,Greenland,4648(3995-5385),83026(71351-96178),5.38(4.62-6.23)
Europe & Central Asia,Hungary,Hungary,991990(888027-1122172),108937(97520-123233),8.51(7.62-9.62)
Europe & Central Asia,Iceland,Iceland,49448(42976-56693),135903(118113-155813),7.1(6.17-8.13)
Europe & Central Asia,Ireland,Ireland,3254303(2845300-3730119),607776(531391-696640),8.38(7.33-9.61)
Europe & Central Asia,Italy,Italy,4903262(4301379-5612182),84645(74255-96883),8.16(7.16-9.34)
