Region,country,WBCountry,totalloss,pc_loss,tax %
East Asia & Pacific,American Samoa,American Samoa,136(121-156),2494(2227-2858),0.58(0.51-0.66)
East Asia & Pacific,Australia,Australia,134023(120964-150807),4572(4126-5144),0.33(0.3-0.37)
East Asia & Pacific,Brunei Darussalam,Brunei Darussalam,2423(1679-3454),5092(3530-7260),0.32(0.22-0.46)
East Asia & Pacific,Cambodia,Cambodia,9540(7135-12896),488(365-659),0.24(0.18-0.32)
East Asia & Pacific,China,China,3042484(2730691-3445129),2103(1887-2381),0.31(0.28-0.35)
East Asia & Pacific,Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",3768(3031-4724),142(114-178),0.26(0.21-0.33)
East Asia & Pacific,Fiji,Fiji,2752(2052-3733),2773(2067-3761),0.85(0.63-1.15)
East Asia & Pacific,Guam,Guam,747(629-904),4059(3420-4915),0.36(0.3-0.44)
East Asia & Pacific,Indonesia,Indonesia,438740(318418-590349),1429(1037-1922),0.3(0.22-0.4)
East Asia & Pacific,Japan,Japan,341066(293603-399686),2920(2513-3421),0.26(0.23-0.31)
East Asia & Pacific,Kiribati,Kiribati,33(28-40),223(189-269),0.38(0.32-0.46)
East Asia & Pacific,Lao People's Democratic Republic,Lao PDR,5248(3366-7917),615(394-927),0.19(0.12-0.28)
East Asia & Pacific,Malaysia,Malaysia,91403(74838-115839),2460(2014-3118),0.25(0.2-0.32)
East Asia & Pacific,Marshall Islands,Marshall Islands,38(34-45),567(497-662),0.52(0.45-0.6)
East Asia & Pacific,Micronesia (Federated States of),"Micronesia, Fed. Sts.",41(35-50),319(271-382),0.39(0.33-0.47)
East Asia & Pacific,Mongolia,Mongolia,1687(1342-2174),433(345-558),0.1(0.08-0.13)
East Asia & Pacific,Myanmar,Myanmar,27731(22827-34295),467(384-577),0.26(0.22-0.33)
East Asia & Pacific,Nauru,Nauru,13(11-16),1179(970-1456),0.3(0.25-0.37)
East Asia & Pacific,New Zealand,New Zealand,18755(16111-21881),3553(3052-4145),0.25(0.21-0.29)
East Asia & Pacific,Northern Mariana Islands,Northern Mariana Islands,211(182-247),3434(2975-4032),0.47(0.41-0.56)
East Asia & Pacific,Palau,Palau,40(35-46),2165(1922-2502),0.56(0.49-0.64)
East Asia & Pacific,Papua New Guinea,Papua New Guinea,4169(3437-5130),360(296-442),0.31(0.25-0.38)
East Asia & Pacific,Philippines,Philippines,170462(143655-197435),1322(1114-1531),0.36(0.31-0.42)
East Asia & Pacific,Republic of Korea,"Korea, Rep.",268210(233111-315775),5356(4655-6306),0.36(0.32-0.43)
East Asia & Pacific,Samoa,Samoa,141(119-171),608(511-735),0.36(0.3-0.43)
East Asia & Pacific,Singapore,Singapore,45900(39753-54980),7297(6320-8741),0.25(0.21-0.29)
East Asia & Pacific,Solomon Islands,Solomon Islands,167(138-205),172(142-211),0.31(0.25-0.38)
East Asia & Pacific,Taiwan (Province of China),,138958(119365-165191),5887(5057-6998),0.34(0.29-0.4)
East Asia & Pacific,Thailand,Thailand,105633(90026-126195),1527(1301-1824),0.25(0.22-0.3)
East Asia & Pacific,Timor-Leste,Timor-Leste,260(202-336),154(120-199),0.19(0.15-0.25)
East Asia & Pacific,Tonga,Tonga,72(61-87),595(503-718),0.35(0.3-0.43)
East Asia & Pacific,Tuvalu,Tuvalu,11(9-13),771(657-922),0.41(0.35-0.49)
East Asia & Pacific,Vanuatu,Vanuatu,95(79-116),222(184-272),0.32(0.27-0.39)
East Asia & Pacific,Viet Nam,Vietnam,141042(101249-193736),1340(962-1840),0.28(0.2-0.38)
Europe & Central Asia,Albania,Albania,1756(1267-2407),652(470-894),0.13(0.09-0.18)
Europe & Central Asia,Andorra,Andorra,384(318-473),4955(4100-6090),0.32(0.27-0.4)
Europe & Central Asia,Armenia,Armenia,5344(4564-6404),1828(1561-2190),0.35(0.3-0.42)
Europe & Central Asia,Austria,Austria,44623(41079-49130),4871(4485-5363),0.33(0.31-0.37)
Europe & Central Asia,Azerbaijan,Azerbaijan,7801(5890-10607),721(544-980),0.21(0.16-0.28)
Europe & Central Asia,Belarus,Belarus,4193(3373-5354),461(371-589),0.1(0.08-0.13)
Europe & Central Asia,Belgium,Belgium,52119(46985-59319),4349(3921-4950),0.33(0.29-0.37)
Europe & Central Asia,Bosnia and Herzegovina,Bosnia and Herzegovina,7123(5707-9083),2364(1894-3015),0.43(0.34-0.55)
Europe & Central Asia,Bulgaria,Bulgaria,31672(26878-38567),5149(4369-6270),0.58(0.5-0.71)
Europe & Central Asia,Croatia,Croatia,8600(6804-11108),2295(1815-2964),0.22(0.18-0.29)
Europe & Central Asia,Cyprus,Cyprus,5965(5585-6476),4608(4314-5002),0.41(0.39-0.45)
Europe & Central Asia,Czechia,Czech Republic,99101(83578-119547),9287(7833-11203),0.68(0.57-0.82)
Europe & Central Asia,Denmark,Denmark,36354(33205-40491),6001(5482-6684),0.36(0.33-0.4)
Europe & Central Asia,Estonia,Estonia,4922(4019-6225),3944(3220-4988),0.28(0.23-0.35)
Europe & Central Asia,Finland,Finland,35622(32550-39578),6417(5863-7129),0.48(0.44-0.53)
Europe & Central Asia,France,France,159540(143964-180032),2383(2151-2690),0.2(0.18-0.23)
Europe & Central Asia,Georgia,Georgia,4665(4067-5466),1238(1079-1451),0.21(0.19-0.25)
Europe & Central Asia,Germany,Germany,795141(704913-905815),9648(8554-10991),0.66(0.59-0.76)
Europe & Central Asia,Greece,Greece,10886(9078-13319),1120(934-1371),0.14(0.12-0.17)
Europe & Central Asia,Greenland,Greenland,228(184-285),4069(3291-5095),0.26(0.21-0.33)
Europe & Central Asia,Hungary,Hungary,37373(30000-47721),4104(3294-5241),0.32(0.26-0.41)
Europe & Central Asia,Iceland,Iceland,1828(1527-2218),5025(4198-6096),0.26(0.22-0.32)
Europe & Central Asia,Ireland,Ireland,211396(195887-231898),39481(36584-43309),0.54(0.5-0.6)
Europe & Central Asia,Italy,Italy,182343(164598-204591),3148(2841-3532),0.3(0.27-0.34)
Europe & Central Asia,Kazakhstan,Kazakhstan,36077(30118-43970),1679(1402-2046),0.22(0.18-0.27)
Europe & Central Asia,Kyrgyzstan,Kyrgyz Republic,2009(1566-2605),255(199-331),0.18(0.14-0.23)
Europe & Central Asia,Latvia,Latvia,4082(3124-5582),2459(1882-3362),0.21(0.16-0.28)
Europe & Central Asia,Lithuania,Lithuania,6369(5222-8000),2661(2182-3343),0.17(0.14-0.21)
Europe & Central Asia,Luxembourg,Luxembourg,6416(5800-7251),8973(8111-10140),0.27(0.24-0.3)
Europe & Central Asia,Monaco,Monaco,1015(855-1227),23715(19976-28661),0.37(0.31-0.45)
Europe & Central Asia,Montenegro,Montenegro,1602(1356-1907),2606(2207-3102),0.4(0.33-0.47)
Europe & Central Asia,Netherlands,Netherlands,99400(89418-112095),5723(5148-6454),0.34(0.31-0.39)
Europe & Central Asia,North Macedonia,North Macedonia,3571(2793-4772),1787(1398-2388),0.32(0.25-0.43)
Europe & Central Asia,Norway,Norway,67227(63949-71176),11102(10561-11754),0.67(0.63-0.7)
Europe & Central Asia,Poland,Poland,146170(116578-185579),4064(3242-5160),0.3(0.24-0.38)
Europe & Central Asia,Portugal,Portugal,24519(21563-28475),2525(2221-2933),0.24(0.21-0.28)
