Region,country,WBCountry,totalloss,pc_loss,tax %
East Asia & Pacific,American Samoa,American Samoa,1607(1425-1817),29513(26177-33370),7.98(7.08-9.03)
East Asia & Pacific,Australia,Australia,854452(746008-965438),29146(25447-32932),2.45(2.14-2.76)
East Asia & Pacific,Brunei Darussalam,Brunei Darussalam,33803(29188-39160),71046(61347-82306),5.17(4.46-5.99)
East Asia & Pacific,Cambodia,Cambodia,87965(74717-103485),4498(3820-5291),2.63(2.23-3.09)
East Asia & Pacific,China,China,19696843(17258509-22695620),13612(11927-15685),2.37(2.07-2.73)
East Asia & Pacific,Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",32654(27769-38084),1228(1044-1432),2.67(2.27-3.11)
East Asia & Pacific,Fiji,Fiji,21246(18557-24231),21405(18695-24411),7.67(6.7-8.75)
East Asia & Pacific,Guam,Guam,7330(6379-8461),39840(34670-45982),4.14(3.6-4.78)
East Asia & Pacific,Indonesia,Indonesia,2240638(1906866-2645614),7297(6210-8616),1.82(1.55-2.15)
East Asia & Pacific,Japan,Japan,3476383(3071426-3958454),29758(26292-33885),3.1(2.74-3.53)
East Asia & Pacific,Kiribati,Kiribati,334(291-386),2254(1961-2601),4.51(3.92-5.2)
East Asia & Pacific,Lao People's Democratic Republic,Lao PDR,56187(47468-66534),6581(5559-7792),2.41(2.04-2.86)
East Asia & Pacific,Malaysia,Malaysia,964355(802111-1131714),25956(21589-30461),3.12(2.6-3.66)
East Asia & Pacific,Marshall Islands,Marshall Islands,436(382-500),6421(5635-7374),6.85(6.01-7.86)
East Asia & Pacific,Micronesia (Federated States of),"Micronesia, Fed. Sts.",424(370-488),3273(2852-3764),4.67(4.07-5.37)
East Asia & Pacific,Mongolia,Mongolia,13199(11308-15600),3390(2904-4007),0.96(0.83-1.14)
East Asia & Pacific,Myanmar,Myanmar,235466(206232-269044),3964(3472-4529),2.68(2.34-3.06)
East Asia & Pacific,Nauru,Nauru,120(103-139),10934(9415-12699),3.25(2.8-3.78)
East Asia & Pacific,New Zealand,New Zealand,165867(145845-188188),31424(27631-35653),2.55(2.24-2.89)
East Asia & Pacific,Northern Mariana Islands,Northern Mariana Islands,2305(2013-2635),37580(32827-42957),6.07(5.3-6.94)
East Asia & Pacific,Palau,Palau,468(413-533),25605(22638-29192),7.59(6.71-8.65)
East Asia & Pacific,Papua New Guinea,Papua New Guinea,38265(32955-44325),3300(2842-3823),3.34(2.88-3.87)
East Asia & Pacific,Philippines,Philippines,761660(660157-868965),5908(5120-6740),1.95(1.69-2.23)
East Asia & Pacific,Republic of Korea,"Korea, Rep.",2412223(1989740-2858131),48173(39736-57078),3.83(3.16-4.54)
East Asia & Pacific,Samoa,Samoa,1383(1201-1590),5950(5167-6843),4.1(3.56-4.72)
East Asia & Pacific,Singapore,Singapore,399946(355268-456097),63585(56482-72512),2.51(2.23-2.87)
East Asia & Pacific,Solomon Islands,Solomon Islands,1533(1331-1776),1577(1369-1826),3.3(2.87-3.83)
East Asia & Pacific,Taiwan (Province of China),,1332282(1196566-1482977),56438(50689-62822),3.81(3.42-4.24)
East Asia & Pacific,Thailand,Thailand,1293408(1128607-1489466),18696(16314-21530),3.66(3.2-4.22)
East Asia & Pacific,Timor-Leste,Timor-Leste,2011(1703-2356),1193(1011-1398),1.71(1.45-2.0)
East Asia & Pacific,Tonga,Tonga,704(615-805),5838(5104-6681),4.04(3.53-4.62)
East Asia & Pacific,Tuvalu,Tuvalu,108(94-124),7773(6762-8945),4.94(4.29-5.68)
East Asia & Pacific,Vanuatu,Vanuatu,885(765-1022),2071(1791-2392),3.5(3.03-4.04)
East Asia & Pacific,Viet Nam,Vietnam,1514834(1300081-1755492),14389(12349-16675),3.63(3.11-4.2)
Europe & Central Asia,Albania,Albania,28010(23963-32443),10396(8894-12041),2.46(2.1-2.85)
Europe & Central Asia,Andorra,Andorra,3613(3111-4203),46564(40101-54177),3.55(3.06-4.13)
Europe & Central Asia,Armenia,Armenia,75254(67593-83822),25737(23117-28667),5.9(5.3-6.57)
Europe & Central Asia,Austria,Austria,459652(390456-519311),50180(42626-56693),3.99(3.39-4.51)
Europe & Central Asia,Azerbaijan,Azerbaijan,108811(93354-126898),10057(8628-11729),3.31(2.84-3.86)
Europe & Central Asia,Belarus,Belarus,58064(49742-66420),6390(5474-7310),1.59(1.36-1.81)
Europe & Central Asia,Belgium,Belgium,647693(564170-740830),54047(47078-61819),4.7(4.09-5.37)
Europe & Central Asia,Bosnia and Herzegovina,Bosnia and Herzegovina,120335(104713-137166),39938(34753-45524),8.52(7.41-9.71)
Europe & Central Asia,Bulgaria,Bulgaria,176203(146154-216876),28644(23760-35256),3.81(3.16-4.68)
Europe & Central Asia,Croatia,Croatia,222757(196842-253032),59433(52519-67511),6.82(6.02-7.74)
Europe & Central Asia,Cyprus,Cyprus,46616(41098-51898),36009(31746-40089),3.85(3.39-4.28)
Europe & Central Asia,Czechia,Czech Republic,897486(775879-1024404),84108(72712-96002),7.21(6.23-8.23)
Europe & Central Asia,Denmark,Denmark,325760(287987-363857),53777(47542-60066),3.73(3.3-4.16)
Europe & Central Asia,Estonia,Estonia,34381(29694-39746),27551(23795-31851),2.31(1.99-2.67)
Europe & Central Asia,Finland,Finland,350173(305820-392431),63078(55088-70690),5.43(4.75-6.09)
Europe & Central Asia,France,France,1771642(1514675-2077000),26467(22628-31029),2.57(2.2-3.02)
Europe & Central Asia,Georgia,Georgia,106447(91018-120185),28256(24161-31903),5.74(4.91-6.48)
Europe & Central Asia,Germany,Germany,6939595(6072764-7861696),84207(73688-95396),6.7(5.86-7.59)
Europe & Central Asia,Greece,Greece,257317(213932-290164),26477(22013-29857),3.83(3.19-4.32)
Europe & Central Asia,Greenland,Greenland,1976(1692-2301),35291(30217-41100),2.68(2.29-3.12)
Europe & Central Asia,Hungary,Hungary,415195(369342-472735),45595(40560-51914),4.2(3.73-4.78)
Europe & Central Asia,Iceland,Iceland,20491(17751-23584),56318(48786-64818),3.47(3.01-3.99)
Europe & Central Asia,Ireland,Ireland,1334068(1169271-1527301),249152(218374-285240),4.21(3.69-4.82)
Europe & Central Asia,Italy,Italy,2115840(1855895-2421425),36526(32038-41801),4.06(3.56-4.64)
Europe & Central Asia,Kazakhstan,Kazakhstan,420252(364556-484809),19556(16964-22560),2.97(2.57-3.42)
