Region,country,WBCountry,totalloss,pc_loss,tax %
East Asia & Pacific,American Samoa,American Samoa,928(818-1056),17039(15015-19390),3.94(3.47-4.48)
East Asia & Pacific,Australia,Australia,555637(485857-634709),18953(16573-21651),1.37(1.19-1.56)
East Asia & Pacific,Brunei Darussalam,Brunei Darussalam,23388(19800-27739),49157(41615-58301),3.11(2.63-3.69)
East Asia & Pacific,Cambodia,Cambodia,64599(54107-77194),3303(2767-3947),1.6(1.34-1.92)
East Asia & Pacific,China,China,14672143(12691379-17047756),10140(8771-11782),1.5(1.29-1.74)
East Asia & Pacific,Democratic People's Republic of Korea,"Korea, Dem. People's Rep.",22828(19230-26924),859(723-1013),1.59(1.34-1.88)
East Asia & Pacific,Fiji,Fiji,16916(14395-19745),17042(14502-19892),5.21(4.44-6.08)
East Asia & Pacific,Guam,Guam,4747(4093-5528),25799(22244-30044),2.29(1.97-2.67)
East Asia & Pacific,Indonesia,Indonesia,1740924(1451460-2089428),5669(4727-6804),1.19(0.99-1.43)
East Asia & Pacific,Japan,Japan,2024900(1779274-2310073),17333(15231-19775),1.57(1.38-1.79)
East Asia & Pacific,Kiribati,Kiribati,213(183-247),1434(1237-1668),2.46(2.12-2.86)
East Asia & Pacific,Lao People's Democratic Republic,Lao PDR,41742(34432-50615),4889(4033-5928),1.5(1.23-1.81)
East Asia & Pacific,Malaysia,Malaysia,650082(529683-781674),17497(14257-21039),1.77(1.44-2.13)
East Asia & Pacific,Marshall Islands,Marshall Islands,258(225-298),3807(3320-4394),3.47(3.03-4.0)
East Asia & Pacific,Micronesia (Federated States of),"Micronesia, Fed. Sts.",266(230-309),2054(1775-2382),2.53(2.19-2.93)
East Asia & Pacific,Mongolia,Mongolia,10803(9152-12894),2775(2351-3312),0.67(0.56-0.79)
East Asia & Pacific,Myanmar,Myanmar,168042(145085-194897),2829(2442-3281),1.6(1.38-1.85)
East Asia & Pacific,Nauru,Nauru,80(68-94),7301(6226-8565),1.88(1.6-2.2)
East Asia & Pacific,New Zealand,New Zealand,103181(90114-117795),19548(17073-22317),1.35(1.18-1.54)
East Asia & Pacific,Northern Mariana Islands,Northern Mariana Islands,1396(1212-1607),22762(19755-26202),3.14(2.73-3.61)
East Asia & Pacific,Palau,Palau,269(236-308),14709(12922-16860),3.78(3.32-4.33)
East Asia & Pacific,Papua New Guinea,Papua New Guinea,25886(22082-30297),2233(1905-2613),1.92(1.64-2.25)
East Asia & Pacific,Philippines,Philippines,600633(517484-688905),4659(4014-5343),1.28(1.1-1.47)
East Asia & Pacific,Republic of Korea,"Korea, Rep.",1442809(1187068-1735676),28813(23706-34662),1.96(1.61-2.36)
East Asia & Pacific,Samoa,Samoa,897(772-1042),3861(3323-4484),2.27(1.96-2.64)
East Asia & Pacific,Singapore,Singapore,260649(227807-300326),41439(36218-47747),1.4(1.22-1.61)
East Asia & Pacific,Solomon Islands,Solomon Islands,1035(889-1211),1064(914-1245),1.9(1.63-2.23)
East Asia & Pacific,Taiwan (Province of China),,875258(774179-990361),37078(32796-41954),2.14(1.89-2.42)
East Asia & Pacific,Thailand,Thailand,782348(678423-905135),11309(9807-13084),1.89(1.64-2.18)
East Asia & Pacific,Timor-Leste,Timor-Leste,1497(1252-1780),889(743-1056),1.1(0.92-1.31)
East Asia & Pacific,Tonga,Tonga,455(394-526),3775(3266-4366),2.24(1.94-2.6)
East Asia & Pacific,Tuvalu,Tuvalu,69(60-80),4999(4315-5798),2.65(2.29-3.07)
East Asia & Pacific,Vanuatu,Vanuatu,592(507-690),1385(1186-1616),1.99(1.71-2.33)
East Asia & Pacific,Viet Nam,Vietnam,937763(793582-1107617),8907(7538-10521),1.86(1.58-2.2)
Europe & Central Asia,Albania,Albania,16803(14208-19743),6236(5273-7328),1.26(1.06-1.48)
Europe & Central Asia,Andorra,Andorra,2403(2051-2821),30970(26433-36356),2.02(1.72-2.37)
Europe & Central Asia,Armenia,Armenia,52146(45558-58798),17834(15581-20109),3.45(3.01-3.89)
Europe & Central Asia,Austria,Austria,272111(230790-309734),29706(25195-33813),2.04(1.73-2.32)
Europe & Central Asia,Azerbaijan,Azerbaijan,78211(65737-92912),7229(6076-8587),2.07(1.74-2.46)
Europe & Central Asia,Belarus,Belarus,37126(31247-43379),4086(3439-4774),0.89(0.75-1.04)
Europe & Central Asia,Belgium,Belgium,382318(331717-439345),31903(27680-36662),2.39(2.08-2.75)
Europe & Central Asia,Bosnia and Herzegovina,Bosnia and Herzegovina,69875(59874-80973),23191(19872-26874),4.22(3.62-4.89)
Europe & Central Asia,Bulgaria,Bulgaria,117568(97831-143271),19112(15904-23291),2.17(1.8-2.64)
Europe & Central Asia,Croatia,Croatia,126371(109960-145814),33717(29338-38904),3.3(2.87-3.81)
Europe & Central Asia,Cyprus,Cyprus,30064(26441-33669),23223(20425-26008),2.09(1.84-2.34)
Europe & Central Asia,Czechia,Czech Republic,552220(473543-637352),51751(44378-59730),3.77(3.23-4.35)
Europe & Central Asia,Denmark,Denmark,200880(177282-225308),33162(29266-37194),1.97(1.74-2.21)
Europe & Central Asia,Estonia,Estonia,22588(19383-26446),18101(15532-21192),1.29(1.11-1.51)
Europe & Central Asia,Finland,Finland,208452(181125-235966),37549(32627-42505),2.79(2.43-3.16)
Europe & Central Asia,France,France,1033449(882778-1205839),15439(13188-18014),1.3(1.11-1.51)
Europe & Central Asia,Georgia,Georgia,16364(14204-18806),4344(3770-4992),0.75(0.65-0.86)
Europe & Central Asia,Germany,Germany,4111101(3597206-4668489),49885(43649-56649),3.43(3.0-3.89)
Europe & Central Asia,Greece,Greece,146065(121460-166589),15030(12498-17142),1.89(1.57-2.15)
Europe & Central Asia,Greenland,Greenland,1381(1170-1626),24658(20891-29047),1.6(1.35-1.88)
Europe & Central Asia,Hungary,Hungary,255102(223297-293789),28014(24522-32263),2.19(1.92-2.52)
Europe & Central Asia,Iceland,Iceland,12528(10764-14537),34432(29584-39952),1.8(1.54-2.09)
Europe & Central Asia,Ireland,Ireland,886347(778836-1012291),165535(145456-189056),2.28(2.01-2.61)
Europe & Central Asia,Italy,Italy,1249506(1085139-1434679),21570(18733-24767),2.08(1.81-2.39)
Europe & Central Asia,Kazakhstan,Kazakhstan,293558(249041-345437),13660(11589-16075),1.77(1.5-2.08)
Europe & Central Asia,Kyrgyzstan,Kyrgyz Republic,17122(14548-19956),2177(1849-2537),1.5(1.27-1.74)
Europe & Central Asia,Latvia,Latvia,25781(22103-29982),15529(13314-18060),1.31(1.13-1.53)
Europe & Central Asia,Lithuania,Lithuania,32257(27927-37300),13478(11669-15585),0.86(0.75-1.0)
Europe & Central Asia,Luxembourg,Luxembourg,67151(58249-76981),93904(81455-107651),2.81(2.44-3.22)
Europe & Central Asia,Monaco,Monaco,6477(5570-7543),151326(130141-176251),2.36(2.03-2.75)
Europe & Central Asia,Montenegro,Montenegro,10331(8882-11883),16805(14447-19330),2.55(2.19-2.93)
Europe & Central Asia,Netherlands,Netherlands,493672(435054-560258),28424(25049-32258),1.71(1.51-1.94)
Europe & Central Asia,North Macedonia,North Macedonia,39869(33103-47025),19954(16568-23536),3.62(3.01-4.27)
Europe & Central Asia,Norway,Norway,247895(222669-276080),40939(36773-45594),2.45(2.2-2.73)
Europe & Central Asia,Poland,Poland,1355709(1173613-1550502),37696(32633-43112),2.75(2.38-3.15)
Europe & Central Asia,Portugal,Portugal,260319(218356-310289),26812(22490-31959),2.59(2.18-3.09)
Europe & Central Asia,Republic of Moldova,Moldova,24040(20436-27985),6419(5457-7472),1.97(1.68-2.3)
Europe & Central Asia,Romania,Romania,438468(371127-513418),24651(20865-28864),1.94(1.64-2.27)
Europe & Central Asia,Russian Federation,Russian Federation,1063555(929761-1216384),7535(6587-8618),1.16(1.01-1.32)
Europe & Central Asia,San Marino,San Marino,1227(1051-1437),35873(30718-42002),2.16(1.85-2.53)
Europe & Central Asia,Serbia,Serbia,130863(110277-151266),16460(13871-19026),2.72(2.29-3.15)
Europe & Central Asia,Slovakia,Slovak Republic,110198(92750-129181),20850(17548-24441),1.9(1.6-2.22)
Europe & Central Asia,Slovenia,Slovenia,65445(56972-73877),32315(28131-36478),2.29(1.99-2.58)
Europe & Central Asia,Spain,Spain,1331531(1087772-1642008),29206(23859-36016),2.5(2.04-3.08)
Europe & Central Asia,Sweden,Sweden,318927(281769-362491),29535(26094-33569),1.88(1.66-2.13)
Europe & Central Asia,Switzerland,Switzerland,359450(307812-420982),38522(32988-45117),2.08(1.78-2.43)
Europe & Central Asia,Tajikistan,Tajikistan,45592(38460-53474),3573(3014-4190),2.26(1.91-2.65)
Europe & Central Asia,Turkey,Turkey,1252379(1021302-1528188),13697(11170-16714),1.23(1.0-1.5)
Europe & Central Asia,Turkmenistan,Turkmenistan,35331(29957-41663),4997(4237-5893),1.39(1.18-1.64)
Europe & Central Asia,Ukraine,Ukraine,23464(20520-26682),595(520-676),0.81(0.71-0.92)
Europe & Central Asia,United Kingdom,United Kingdom,2574289(2281443-2902144),36077(31973-40672),3.09(2.74-3.48)
Europe & Central Asia,Uzbekistan,Uzbekistan,296946(249480-351145),7651(6428-9048),2.27(1.91-2.68)
Latin America & Caribbean,Antigua and Barbuda,Antigua and Barbuda,1548(1339-1786),14569(12603-16804),2.54(2.2-2.93)
Latin America & Caribbean,Argentina,Argentina,302888(261958-348266),5998(5188-6897),1.32(1.14-1.52)
Latin America & Caribbean,Bahamas,"Bahamas, The",7591(6432-8918),17421(14762-20467),2.33(1.97-2.73)
Latin America & Caribbean,Barbados,Barbados,3063(2558-3635),10695(8933-12691),3.18(2.65-3.77)
Latin America & Caribbean,Belize,Belize,1218(1017-1446),2468(2061-2931),1.8(1.5-2.13)
Latin America & Caribbean,Bolivia (Plurinational State of),Bolivia,49973(42202-59313),3597(3038-4269),1.49(1.26-1.77)
Latin America & Caribbean,Brazil,Brazil,1128859(1000443-1273018),5020(4449-5661),1.55(1.37-1.74)
Latin America & Caribbean,Chile,Chile,247235(211136-291715),12488(10665-14735),1.81(1.55-2.14)
Latin America & Caribbean,Colombia,Colombia,522619(454521-595342),9661(8402-11005),2.21(1.93-2.52)
Latin America & Caribbean,Costa Rica,Costa Rica,112177(96071-129033),20249(17342-23291),3.04(2.6-3.49)
Latin America & Caribbean,Cuba,Cuba,131658(113932-151919),12083(10456-13943),2.68(2.32-3.1)
Latin America & Caribbean,Dominica,Dominica,632(551-725),8721(7609-10000),3.04(2.65-3.48)
Latin America & Caribbean,Dominican Republic,Dominican Republic,142821(118963-172074),11882(9898-14316),1.49(1.24-1.79)
Latin America & Caribbean,Ecuador,Ecuador,67289(59594-76915),3250(2878-3715),1.4(1.24-1.6)
Latin America & Caribbean,El Salvador,El Salvador,41310(35085-48481),6063(5149-7115),2.53(2.15-2.97)
Latin America & Caribbean,Grenada,Grenada,1472(1281-1690),12731(11080-14623),2.64(2.3-3.03)
Latin America & Caribbean,Guatemala,Guatemala,99395(86068-114469),4389(3800-5054),1.84(1.59-2.11)
Latin America & Caribbean,Guyana,Guyana,40260(35082-46137),48984(42684-56135),2.47(2.15-2.83)
Latin America & Caribbean,Haiti,Haiti,15127(12803-17799),1140(965-1341),1.73(1.47-2.04)
Latin America & Caribbean,Honduras,Honduras,37801(32438-43992),3138(2693-3652),1.93(1.66-2.25)
Latin America & Caribbean,Jamaica,Jamaica,16119(13214-19209),5333(4372-6355),2.36(1.93-2.81)
Latin America & Caribbean,Mexico,Mexico,1513454(1323900-1713962),10480(9167-11868),2.3(2.01-2.6)
Latin America & Caribbean,Nicaragua,Nicaragua,19442(16663-22546),2532(2170-2936),1.76(1.51-2.04)
Latin America & Caribbean,Panama,Panama,88577(76325-102210),17174(14799-19817),1.95(1.68-2.24)
Latin America & Caribbean,Paraguay,Paraguay,43132(36585-50625),5237(4442-6146),1.4(1.19-1.64)
Latin America & Caribbean,Peru,Peru,116790(103816-132880),3146(2797-3580),0.91(0.81-1.04)
Latin America & Caribbean,Puerto Rico,Puerto Rico,79670(70024-90028),28975(25467-32742),3.58(3.15-4.05)
Latin America & Caribbean,Saint Kitts and Nevis,St. Kitts and Nevis,965(834-1115),17279(14929-19973),2.52(2.18-2.92)
Latin America & Caribbean,Saint Lucia,St. Lucia,1997(1751-2271),10688(9374-12153),3.22(2.83-3.66)
Latin America & Caribbean,Saint Vincent and the Grenadines,St. Vincent and the Grenadines,1237(1082-1411),11047(9664-12600),2.92(2.55-3.33)
Latin America & Caribbean,Suriname,Suriname,7315(6242-8536),11358(9693-13254),3.69(3.15-4.31)
Latin America & Caribbean,Trinidad and Tobago,Trinidad and Tobago,23891(21038-27233),17133(15087-19530),3.32(2.92-3.78)
Latin America & Caribbean,United States Virgin Islands,Virgin Islands (U.S.),4278(3716-4945),44134(38338-51017),3.09(2.68-3.57)
Latin America & Caribbean,Uruguay,Uruguay,24528(21253-27997),6840(5927-7808),1.18(1.02-1.35)
Latin America & Caribbean,Venezuela (Bolivarian Republic of),"Venezuela, RB",202095(174854-233075),5921(5123-6829),2.1(1.82-2.42)
Middle East & North Africa,Algeria,Algeria,269258(228415-318500),5094(4321-6026),1.94(1.65-2.3)
Middle East & North Africa,Bahrain,Bahrain,46397(42444-51953),22317(20415-24989),2.01(1.84-2.25)
Middle East & North Africa,Djibouti,Djibouti,3694(3025-4487),3185(2608-3869),1.18(0.97-1.43)
Middle East & North Africa,Egypt,"Egypt, Arab Rep.",813261(685772-966146),6217(5243-7386),1.38(1.17-1.64)
Middle East & North Africa,Iran (Islamic Republic of),"Iran, Islamic Rep.",573947(487677-671039),6037(5130-7058),1.8(1.53-2.11)
Middle East & North Africa,Iraq,Iraq,314860(275901-357383),5678(4976-6445),2.25(1.97-2.55)
Middle East & North Africa,Israel,Israel,206680(175515-239141),19376(16454-22419),1.45(1.23-1.68)
Middle East & North Africa,Jordan,Jordan,77128(65908-90182),6788(5800-7937),2.43(2.08-2.85)
Middle East & North Africa,Kuwait,Kuwait,82134(69983-95963),16697(14227-19509),1.66(1.42-1.94)
Middle East & North Africa,Lebanon,Lebanon,10002(8511-11709),1563(1330-1830),2.25(1.91-2.63)
Middle East & North Africa,Libya,Libya,229729(195702-269764),29336(24991-34449),2.24(1.91-2.63)
Middle East & North Africa,Malta,Malta,31660(28078-35723),71695(63583-80896),2.92(2.59-3.3)
Middle East & North Africa,Morocco,Morocco,311350(268828-359438),7381(6373-8521),3.47(2.99-4.0)
Middle East & North Africa,Oman,Oman,110361(92869-130775),17978(15129-21303),2.35(1.97-2.78)
Middle East & North Africa,Qatar,Qatar,85665(77476-94699),24851(22475-27471),1.19(1.07-1.31)
Middle East & North Africa,Saudi Arabia,Saudi Arabia,1018048(883425-1174846),25092(21774-28957),2.14(1.85-2.47)
Middle East & North Africa,Syrian Arab Republic,Syrian Arab Republic,33413(28317-39173),1214(1029-1423),1.86(1.57-2.18)
Middle East & North Africa,Tunisia,Tunisia,106396(89458-125272),8191(6887-9644),3.2(2.69-3.77)
Middle East & North Africa,United Arab Emirates,United Arab Emirates,472668(397688-561931),44999(37861-53497),2.21(1.86-2.62)
Middle East & North Africa,Yemen,"Yemen, Rep.",24793(20541-29966),630(522-761),0.94(0.78-1.14)
North America,Bermuda,Bermuda,4367(3747-5059),74451(63881-86263),2.33(2.0-2.7)
North America,Canada,Canada,822744(712751-949216),19575(16958-22584),1.59(1.38-1.84)
North America,United States of America,United States,19973274(17655358-22585325),55902(49415-63213),3.21(2.84-3.63)
South Asia,Afghanistan,Afghanistan,22411(18648-27001),428(356-516),1.25(1.04-1.51)
South Asia,Bangladesh,Bangladesh,859095(720876-1022419),4712(3954-5608),1.57(1.32-1.87)
South Asia,Bhutan,Bhutan,6112(5154-7256),7134(6016-8470),1.63(1.37-1.93)
South Asia,India,India,15628898(13434926-18110461),10166(8739-11780),3.1(2.67-3.6)
South Asia,Maldives,Maldives,5737(4890-6658),10502(8952-12188),1.73(1.47-2.0)
South Asia,Nepal,Nepal,74492(62721-88312),2216(1866-2627),1.4(1.18-1.66)
South Asia,Pakistan,Pakistan,818420(670597-993984),2905(2380-3528),1.87(1.53-2.27)
South Asia,Sri Lanka,Sri Lanka,417564(355014-496039),19005(16158-22577),4.28(3.64-5.08)
Sub-Saharan Africa,Angola,Angola,35724(29013-44077),673(546-830),0.72(0.59-0.89)
Sub-Saharan Africa,Benin,Benin,15436(12394-19071),864(694-1068),0.75(0.6-0.92)
Sub-Saharan Africa,Botswana,Botswana,13245(11817-14946),4474(3992-5048),1.08(0.96-1.22)
Sub-Saharan Africa,Burkina Faso,Burkina Faso,22889(18544-27823),727(589-884),0.97(0.79-1.18)
Sub-Saharan Africa,Burundi,Burundi,1129(924-1380),62(51-76),0.44(0.36-0.54)
Sub-Saharan Africa,Cabo Verde,Cabo Verde,2254(1902-2657),3593(3032-4234),1.79(1.51-2.11)
Sub-Saharan Africa,Cameroon,Cameroon,25015(20241-30873),658(532-812),0.6(0.48-0.74)
Sub-Saharan Africa,Central African Republic,Central African Republic,1878(1562-2252),285(237-342),1.04(0.87-1.25)
Sub-Saharan Africa,Chad,Chad,4385(3605-5315),177(145-214),0.67(0.55-0.81)
Sub-Saharan Africa,Comoros,Comoros,725(586-888),621(503-761),0.78(0.63-0.96)
Sub-Saharan Africa,Congo,"Congo, Rep.",3259(2669-3992),410(335-502),0.94(0.77-1.15)
