"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9457830050981","24.8460607336456","24.3193371696971","27.0733728565054","20.6452407898022","23.7302742225986","19.3279022403259","12.016690647482","14.4618573797678","17.0965154173978","-2.04170204831031","13.1633051072464","2.41615039521471","13.7321937321937","10.8964900514196","3.54989483524188","-1.69807186678352","1.88891337888472","6.82143403515692","10.5632532143732","14.8678515075939","15.3560598869891","14.1530385510001","11.3127993823784","","",
"Africa Eastern and Southern","AFE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4045776211063","15.0045624817014","15.2856559378242","17.5039149457105","16.7669372985446","","","","","","20.22706622702","16.1137019304223","19.9267316259076","20.1196058032699","21.5718143938642","21.9922345851717","23.1511890801122","22.7742331638996","21.7565159549589","18.9528354490508","20.4277715067107","20.7566995969343","19.2328627562676","19.0836719465218","20.1865842710872","18.9548044231644","19.8450754177778","19.9731840653382","19.8301010507409","20.2073494826246","19.5671670862992",
"Afghanistan","AFG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","66.0533331684578","64.0666774314448","57.4542775814582","47.1234325288644","38.0763745513777","40.7973105392548","39.7302632838179","37.1808084250025","48.9395985310955","45.3694002308933","43.5034509024621","37.675414619093","35.3606878637911","33.9160691882934","34.1094283151752","31.976659172034","33.7337929250544","28.2823849841852","37.3384184695724","41.5336687811894","29.5045771738045","25.7407020824004","24.9177991773156","26.865610235488","28.6287475133821","37.923405558671","21.4037901236828","25.2415680768218","20.5466358495305","20.5705909814666","20.9102205850017","26.8690976458655","18.0474048477432","20.8319379619589","18.0932914492482","16.4907056239208","17.9525703332862","18.9195837537056","21.219361648888","22.5648398879736",
"Angola","AGO","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2078759214148","14.4802221618501","28.8768162146426","26.055460637047","33.5359981811409","41.1876533187137","43.4545834611134","41.4989704192505","38.6588583240985","27.6578678923736","36.9873433164283","37.8885498866507","37.2329993870824","32.0298819474387","29.9667217684189","25.0213265366115","24.4292475387708","23.3519455946258","25.173193699819","25.5248477248254","17.967327009933",
"Albania","ALB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.8112263051868","28.4100004335346","28.2425665773267","26.0607555881553","23.7252668969749","26.8282680674096","18.7777579223622","-10.9519889602208","-11.9935808855625","11.2082081228168","3.10983687998731","16.3575110147134","16.1325056780287","5.57239439340344","17.3374359747225","14.8995793450768","25.8913491846552","28.9252187864385","25.5167165764119","26.2582688780353","29.3848368163144","30.1065020174443","29.0689462452266","23.9542940151917","17.7309235239816","17.3358945416661","19.9676199217899","20.5454557839284","19.6251036733499","17.741294209226","15.9293874874597","16.8639814035927","17.0490732471496","16.5293641587755","16.5472333763493","14.4998254996716","11.0727426506482",
"Andorra","AND","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3661538711081","41.9754752058079","41.6187914884738","44.9158087061929","31.6095549553486","35.8954748566579","41.0968544462205","39.6225528338423","37.8213929012224","34.7429132011512","25.5994672987531","25.4985092773648","28.5413076030489","31.4273532870197","30.8592065326552","",
"United Arab Emirates","ARE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","34.0487067278848","32.5077111151898","30.1794054818106","25.216096734904","22.9884302050286","19.8802568653945","18.3585987862388","18.5376271806435","17.6222626813704","","14.7833054557019","15.1979016214147","","13.6301814012069","16.0433766574382","13.5618560304189","13.6516281676646","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.3902143492892","22.2111475246564","21.1014580679688","18.2953229616244","17.3052805596303","17.3484303943707","16.0551647849633","14.9543621104664","15.752009923961","14.2873026166431","14.6363710424189","13.0766671687197","11.4051604772123","14.2852951192622","18.6167506024591",
