Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,30.9560067681895,24.8421052631579,24.3143690736689,27.0848708487085,20.6501297016861,23.7047420220698,19.1967599410898,12.2149772209567,14.6479912544411,17.2462834489594,-1.66268488294286,13.1048957623727,2.91746296682664,15.3442719591275,11.1684532924962,4.64947632058288,-1.23576874205844,5.7464003418073,6.83246897399141,10.574057766213,14.8742659690799,15.3587676598822,14.1496987864057,12.3449682366391,16.725193128244,10.001952844078705,10.001952844078705,10.001952844078705,14.9579785329208,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705,10.001952844078705
AFE,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.993319444096,13.5305003758979,13.9991425822192,16.920809807038,16.102177294186,16.79167706654815,17.4811768389103,18.170676611272448,18.8601763836346,19.54967615599675,20.2391759283589,16.5685390535982,20.6525868569851,20.778236752534,22.4745537843748,23.0564512562597,23.9478779673789,23.7994794512911,22.3436571556983,18.4433065292319,20.8599368420369,21.1922298532481,18.182937374839,17.7245429241075,17.8456272124137,16.6351430591843,17.4149307648257,17.5401962582695,17.4008110883682,18.8034649427436,18.35998203200365,18.35998203200365,18.35998203200365,20.0194137992685,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365,18.35998203200365
AFW,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,66.029252760636,64.0390376289369,57.4281775700889,47.0864358851378,38.0295026349196,40.7572968906723,39.6960421125593,37.1340619035996,48.8937697552736,45.328470559598,43.466987960867,37.6292040438813,35.318477742894,33.8761347092167,34.0620779820208,31.9296535577035,33.6765546730746,28.2286191098939,37.2859535237511,41.4917240937816,29.4640667909635,25.6981548671697,24.8714948176628,26.821010646302,28.5964315596409,37.7238026418795,21.3066157714383,25.1917175223422,20.4987138454858,20.4603496374401,20.8474033043084,26.7499390935016,17.9448103881136,22.0562555941591,18.0104719830316,16.670750024506,18.0397388493394,18.8183150247479,21.2551967786349,20.085323067778262,20.085323067778262,20.085323067778262,29.5915528423203,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262,20.085323067778262
AGO,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,39.207877246423,14.4802204008693,28.8768162467033,26.0554613294666,33.5571222877038,41.1877598531582,43.4546139143427,41.4989468254043,38.6589116183562,27.6578376522162,36.9739091341706,37.862381896956,37.1993487269598,31.9913823623496,29.8730788118749,24.7829289681776,23.9670097387006,23.0558481100874,25.0927109367665,32.0956474510472,30.289424613709013,30.289424613709013,30.289424613709013,38.6452665492742,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013,30.289424613709013
ALB,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,27.8112263051868,28.4100004335346,28.2425665773267,26.0607555881553,23.7252668969749,26.8282680674096,18.7777579223622,-10.9519889602208,-11.9935808855625,11.2082081228168,3.10984328513515,16.3575110147134,16.1325084664488,5.57239439340344,17.3374359747225,14.8995793450768,25.8913491846552,28.9252187864385,25.5167165764119,26.2582688780353,29.3848368163144,30.106494692603,29.068942912547,23.9542931005107,17.7309240469109,17.3358968068133,19.9676166398637,20.5454590193286,19.6251008443304,17.7412919784537,15.9293874874597,16.8639794230529,17.0490732471495,16.5293717538814,16.5471599371598,14.3966084733204,17.519504880400014,17.519504880400014,17.519504880400014,18.4446397105656,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014,17.519504880400014
ARB,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,41.0731984468101,42.6151402752616,42.3407529969976,45.4441486421838,32.028185944741,37.1367582308521,41.4168598832587,39.8856783786398,37.7118091232951,33.6989197280407,24.5708068669862,24.3898698835043,27.8730324669045,31.3420641886071,29.5318654014911,32.75576641515796,32.75576641515796,32.75576641515796,28.2838265390353,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796,32.75576641515796
ARG,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,34.0487067304709,32.5077111131019,30.1386934415596,25.2160967346455,22.9884302060225,19.8802568653612,18.3585987862388,18.5376271806435,17.6214446244036,16.20241814023505,14.7833916560665,15.1977497346311,14.41396605623405,13.630182377837,16.0433753516211,13.5618560304189,13.6516426768522,16.2505279122602,15.6483624533872,16.5116322700598,17.1300773563084,16.6642824266429,16.1297343275958,13.6619163753345,14.3684376958258,14.2140728227831,21.3431768782392,21.7345330075457,13.7828348747865,13.7086097328953,21.4172295393985,22.2314441717013,21.1268023980529,18.3213663046327,17.3318557921569,17.3332165356425,16.2099451316674,15.1944663729121,15.909027608976,14.3058273001867,14.6222549686236,13.0688485780752,11.3939154113224,13.6907954436439,14.906015314320673,14.906015314320673,14.906015314320673,19.2624273005563,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673,14.906015314320673
ARM,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,-5.43940818045189,2.56882977833482,-2.12991775333434,1.78758883398485,3.91411260681083,0.756174307649044,2.83405555049927,-0.927016879663365,5.41198363085679,10.2454058280205,16.341811815504,19.7148351012962,24.307317910011,28.5448330269157,28.6006926342324,27.9049203536966,14.0475566485638,13.2007630440219,11.0957227718492,14.0967327842815,14.8367197876222,13.2812572242067,18.4537774239237,17.874965360373,16.9303397712113,15.3620424958443,9.95814821336268,14.509046887669646,14.509046887669646,14.509046887669646,17.6222790722715,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646,14.509046887669646
ATG,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,25.2199007591853,20.7161977052518,24.2015577483223,15.8999924024149,18.9729385580654,21.21390989304,21.0424675889672,20.4477859447831,13.354416323509,11.9828950851134,11.8915862766891,13.1875531053812,10.220395365677,11.0371114217981,8.07697496085429,11.3293251765927,24.2614248497659,13.56885825845,10.4193676952227,7.16092291024921,7.22704969732689,2.78822034959908,7.1602053250579,9.74873285634565,15.4349502687509,22.85809765351,27.4259078622822,12.379231287679453,12.379231287679453,12.379231287679453,17.3469812706514,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453,12.379231287679453
AUS,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,25.6939815959904,24.4466050327968,20.8337005799273,18.339242454984,20.329631511401,21.8766132588699,20.6380638667351,20.9017076669507,21.8156158461666,21.6289348353287,20.6443475665593,21.2120591848335,20.7621464888588,21.7917166838827,21.0935651947519,21.5323080836884,20.9915001446025,21.7190686190481,21.404377644859,21.9458536348002,24.0545889105915,21.848613538673,23.3281224524854,24.3707919847314,23.97590304995,23.6678845305282,22.7006638468813,20.7214612389407,21.811919223063,21.7499004642017,22.4048733596383,22.658013368909298,22.658013368909298,22.658013368909298,25.4912831315211,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298,22.658013368909298
