Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CHN,51907732,58610932,63397776,68379848,73028176,75872464,80571544,85568768,93338152,101544168,96558413.78,91829674.66,87340298.74,83080751.95,79039366.56
CIV,131729.1875,166422.7344,175984.1094,179447.6719,200063.4063,217906.6563,214802.7188,212095.3906,232406.4375,255208.7969,277580.511,301314.7695,326201.23,352320.4035,379891.5193
CMR,173103.0625,183661.7656,182872.4219,189430.4531,196692.5938,202993.375,209305.8438,225862.4688,237283.6719,249906.4375,259852.6546,269983.5459,280471.9686,291215.1702,302386.5537
COD,191139.1563,176630.375,110790.9609,198719.2656,239121.0938,264618.9688,283186.2813,244157.3438,258777.0469,270620.8125,270550.0869,271275.2345,273214.3538,276352.6091,280125.2727
COG,103686.9063,124076.9141,132704.7813,127841.3984,135386.4063,141854,143572.2031,140316.3125,140610.0938,141415.1406,138744.2756,136253.4528,133967.1402,131884.6272,130037.0258
COL,1894346,1986112.375,1976564.125,1988578.75,2030563.375,2056294,2056220,2056162.75,2122432.5,2194572.5,2902743.875,3663850.681,4452956.147,5208541.34,5942428.78
COM,12540.39453,12178.3759765625,11642.4794921875,12635.79688,12105.2646484375,10680.189453125,11634.6435546875,12683.8662109375,12774.4599609375,12915.60156,12686.23148,12476.65891,12288.62096,12123.03992,11981.40692
CPV,15211.5908203125,16405.67969,15899.798828125,15490.806640625,15984.1181640625,16564.134765625,17551.201171875,17652.275390625,18443.58203,19152.57422,18361.49251,17621.67888,16949.94194,16322.40784,15736.61445
CRI,193023.4375,203608.3125,210644.6563,214141.2188,218221.6094,221008.9375,225579.3281,222963.7969,230247.1719,236104.75,258851.1125,283202.0889,308032.9284,333615.413,359558.1384
CYP,177290.1094,175184.4219,188410.7813,196146.0938,187135.9063,200722.7813,204635.1719,209223.3594,211874.4063,214205.0625,203516.5304,193364.5769,183721.429,174561.0566,165859.5487
CZE,1949590.125,2134181,2203981.25,2212210.25,2254206.5,2255350,2348605.5,2330539.25,2352701.25,2375330.25,2262392.056,2155335.595,2053804.585,1957344.805,1865774.503
DEU,16566225,17233948,18135912,18967338,19777244,19994848,20227082,20453238,20650968,20907856,19865912.73,18876193.23,17936008.61,17042823.65,16194298.19
DJI,9458.460938,10801.67578,11950.146484375,8222.007813,8601.5146484375,9326.683594,9246.369141,9542.214844,10366.5966796875,11176.5166015625,11146.68777,11142.27338,11159.51271,11216.02908,11309.74062
DMA,2374.648438,2580.43115234375,2538.001953,2471.13818359375,2475.2451171875,2500.742919921875,2497.27685546875,2560.524658203125,2742.363525390625,2821.06884765625,2681.055405,2548.113635,2421.881953,2302.016856,2188.201013
DNK,1285956.375,1398277.625,1392568.875,1418508.375,1422894.875,1417751.25,1506761.125,1549657.75,1568493.375,1594880,1517462.6,1444087.77,1374420.182,1308299.272,1245534.924
DOM,413635.1875,443888.2188,470294.0313,495423.875,527240.0625,584770.3125,633909.5625,685135.6875,727584.0625,774568.875,738290.5253,704126.769,671804.8415,641167.1005,612212.9524
ECU,712876.125,756604.25,795891,847052.1875,909502.4375,966464.5625,1031335.063,1103712.75,1133980.125,1162897.125,1104849.973,1049714.771,997342.9666,947592.4362,900329.8384
EGY,1295158.375,1416576.125,1494905.625,1505560.375,1447854,1651674.125,1711493.375,1674008.375,1739027.375,1822150.5,1738164.575,1658609.646,1583521.664,1512482.881,1445213.434
ESP,10397201,10458074,10755960,10506893,10877926,10962670,11464665,11452466,11607001,11827519,11237272.24,10676613.3,10144061.78,9638172.021,9157614.913
EST,169005.4375,186502.125,188676.375,194410.4531,197834.3125,194160.625,199348.9219,208487.0156,213082.0781,219444.0938,208499.7441,198104.6029,188229.2377,178846.7368,169933.105
ETH,272075.3125,306460.1563,309434.625,309505.7188,360833.1563,403752.9375,429207,486344.4063,556774.1875,648750,618302.019,589501.0811,562274.69,536570.8765,512298.7427
FIN,1193029.5,1236101.25,1311024.25,1293886.75,1259012.75,1231949.875,1265614.5,1237802.375,1258960,1281196.5,1217359.404,1156720.253,1099116.377,1044389.993,992399.4376
FJI,16184.1357421875,18086.880859375,18563.28516,20620.76563,23197.85547,25734.845703125,26781.50391,26875.447265625,27670.205078125,28567.251953125,27147.74236,25798.77624,24518.92443,23303.8242,22149.80399
FRA,14135247,14813058,14971654,15860023,16363345,16506730,16967790,17562930,17742972,17987252,17090206.52,16238171.58,15428803.22,14659931.72,13929532
GAB,120441.9844,120726.9844,109874.4219,115006.0469,134062.2813,136659.9219,122252.7578,123895.1328,125942.0547,128428.125,127648.5638,126990.8026,126539.8244,126255.6682,126175.9548
GBR,11924992,11398220,12555421,14047743,14052817,15216962,14695206,14915074,15103278,15302674,14539759.77,13815181.6,13126948.95,12473136.52,11852042.16
GEO,93692.08594,94160.14063,121871.2109,141087.6563,160512.7188,192503.5469,239987.9844,283682.1563,288968.4688,297316,282496.798,268423.5161,255059.5483,242368.0549,230315.7801
GHA,609547.5,678324.9375,718719.25,755428.5625,747934.375,702460.3125,513163.1563,395438.9688,409933.4375,421221.875,400326.9383,380485.1833,361642.1812,343746.6671,326751.7578
GIN,32083.80859,34759.72656,37777.125,36273.03516,35541.0625,37525.21094,47333.60156,52778.07031,55215.61719,56857.53516,124643.6584,192983.4755,260868.3017,329778.0856,398580.8503
GMB,14764.92578,15259.1376953125,14057.5576171875,12844.830078125,12989.607421875,12697.435546875,11921.8095703125,11217.14844,11544.3095703125,12008.9404296875,11470.62741,10962.49604,10482.97924,10031.08527,9606.00701
GNB,6314.339844,6297.64501953125,6212.99267578125,6007.12158203125,6057.5322265625,6061.27880859375,6078.29443359375,6106.13134765625,6201.8291015625,6250.8916015625,6765.775021,7306.21427,7860.053557,8433.996879,9027.590035
GNQ,84666.22656,121166.0938,140502.4531,141465.7031,144822.2813,142205.6094,127881.8359,123777.5391,120311.2734,116049.5078,115090.6434,114221.3903,113577.1377,112648.5119,112042.3103
GRC,2055301.375,1979632.875,2391202,2638888.25,2726219.25,2679372.75,2568974.25,2612084,2587820,2565751,2437630.106,2315929.222,2200323.42,2090501.743,1986175.584
GRD,6870.10693359375,7217.2880859375,6957.56787109375,6784.671875,6612.30322265625,6484.45947265625,6385.548828,6383.478516,6579.646484,6703.8291015625,6370.784646,6054.493414,5754.180743,5468.997706,5198.149821
GTM,351259.8438,367318.25,375073.0938,367179.5,375946.6875,415737.5313,435768.375,431804.4375,440240.6875,450848.75,428812.4605,407918.6465,388092.4902,369277.7356,351424.1929
HKG,1917344,2034452,2113565.75,2319683.5,2380775,2453276.25,2492740.75,2537193.5,2561054.25,2566180,2440610.585,2321496.465,2208230.623,2100720.109,1998678.366
HND,129202.9531,139775.25,152746.1406,161235.6875,175086.6719,193234.125,210900.6719,222287.1406,229545.0938,235830.9219,224240.1318,213254.1072,202826.7478,192929.1874,183535.2811
HRV,487488.4063,545861.5,590023.5625,579116.125,575485.875,594486.5625,591322,590664.5,595461.875,602383.25,572312.0905,543750.749,516621.2885,490850.0781,466369.4632
HUN,1061558.5,1111350.25,1192303.75,1263014.875,1256729.625,1307003.125,1386697.375,1356071.5,1388245.875,1428009.375,1395930.761,1368232.682,1343849.051,1320284.965,1298542.644
IDN,10484265,12243238,12729774,13209199,13831939,14473701,15060464,15823088,16754064,18173848,27988154.9,37708806.86,47533614.41,57458327.29,67496677.6
IND,21301734,23749638,25450348,26769772,27900646,28751646,29931854,31536496,33494530,35324124,33694866.5,32160341.68,30713038.89,29351204.15,28069664.04
IRL,1060507.25,1124610.625,1190114.375,1245708.625,1292371.375,1329451.5,1509385.5,1580245.875,1651701,1868599.25,1775581.825,1687282.329,1603439.148,1523759.318,1448062.603
IRN,5502156,5843048.5,6046859.5,6014899,6126217,6275914.5,6416570,6689974.5,6755383,6824485,21040360.75,35232506.71,49290761.38,63444198.31,77499488.92
IRQ,607580.75,699811,725709.4375,807918.9375,1001340.875,825483.6875,744426,1058609.375,1086669,1132113.125,1271820.662,1407346.283,1551453.07,1682134.194,1806400.286
ISL,65932.07813,64544.36328,69837.49219,75712.13281,79712.54688,81976.6875,88932.66406,91529.625,92903.91406,93709.98438,91569.36116,89669.4821,88105.46999,86766.71649,85513.09067
ISR,868753.125,894681.3125,978570.75,1062165.875,1149322.5,1127497.125,1175137.75,1146041.625,1185933.75,1226272.125,1166326.43,1109507.506,1055624.799,1004468.628,955881.7656
ITA,13689293,15249784,17351088,17177916,17346424,17921584,19327484,18760782,18794638,18855818,17914697.11,17020781.42,16171646.32,15364981.25,14598662.33
JAM,165454.1719,173689.2031,164516.8438,163179.0938,158744.7344,155404.9063,151915.8906,149549.3906,150704.9375,152178.1875,145272.8211,138745.0961,132582.1833,126747.5851,121215.0458
JOR,296563.0625,317451.8438,302758.5,304175.625,303384.0313,334563.3125,314469.1875,328908.1875,344772.5313,360493.6875,342498.7701,325404.6876,309166.0582,293740.1863,279086.387
JPN,28888310,28615420,27965012,27233252,26727056,26747970,26883298,25966410,25999172,26102876,25327236.7,24604713.67,23924615.28,23287758.72,22684543.42
KAZ,880149.4375,891500.125,928390.3125,952707.375,1185970.5,1009700.125,1037559.188,1083794.75,1111227.125,1148598.75,1105526.013,1065195.612,1027374.831,992232.4897,959415.5932
KEN,292414,319778.125,326521.1563,350446.2188,387142.625,416040.5938,439421.7188,494175,516748.7813,540344.6875,522060.5141,505353.4304,489938.3419,475841.4058,462972.5845
KGZ,35843.6875,36762.4375,41889.89063,47221.73047,74972.85156,60981.73438,69137.02344,79189.58594,83350.14063,87622.60156,83414.75648,79426.84666,75654.72733,72083.46596,68704.48466
KHM,89775.92188,95919.07031,104989.1953,116254.4688,130778.1016,145634.3281,161762.7188,179704.4375,194556.5469,210421.9531,325887.8835,439473.3183,554007.7284,669638.12,787361.539
KNA,9095.3603515625,9908.171875,10209.28125,10257.7216796875,10513.6748046875,10880.97656,11425.7568359375,10849.78516,11092.01563,11312.9072265625,10749.31587,10213.86907,9705.407618,9222.420237,8763.684226
KOR,7595314,7565400,8102998.5,8594314,9173718,9639723,9949075,10544942,10864304,11164507,12664748.25,14184933.74,15687845.95,17146674.05,18588321.82
KWT,388792.4688,406046.3438,426787.75,479280.4375,557469.4375,644773.0625,717307.25,875517.5625,926177.4375,967252.375,918928.5393,873021.7713,829412.6657,787982.4874,748622.7171
LAO,79813.23438,88743.21094,99505.69531,109536.3516,121213.2031,134362.1563,146845.5938,162036.0938,176197.2969,191343.4688,310663.2433,426673.8861,539846.5558,652280.654,764820.0273
LBR,11328.07422,12890.794921875,13311.3583984375,15743.537109375,15624.322265625,19531.646484375,22321.068359375,23351.845703125,24248.978515625,25000.240234375,23753.31622,22568.89241,21443.84579,20375.2075,19360.18113
LCA,8356.886719,9415.7177734375,9996.998047,10406.408203125,10624.7646484375,10535.18359,10869.7822265625,11135.833984375,11434.32422,11749.2333984375,11165.95073,10612.31719,10087.31633,9588.689516,9115.21604
LSO,23870.384765625,26041.529296875,26396.705078125,25234.685546875,25651.87109,27492.763671875,27445.962890625,25665.92188,26642.498046875,27976.6875,26597.53913,25287.68417,24043.63596,22862.23616,21740.48735
LTU,295784.4375,300871.9688,321272.0938,335504.0625,339768.0625,347367.4688,365540.1875,361436.5,369845.7813,379209.5,360292.504,342324.0428,325255.1327,309039.535,293635.8643
LUX,196212.3125,218689,234439.7969,223653.7344,244216.4375,260022.5938,269390.1875,266885.2188,270810.7188,275867.1875,262133.2701,249090.3096,236700.3761,224929.2323,213747.4517
LVA,295564.375,355876.7188,375621.6875,391384.4688,428047.75,410074.75,446021.5,451151,454860.0625,460683.3125,437675.3749,415819.6001,395057.4411,375333.3081,356595.7167
MAC,128515.6406,142759.5156,151261.8594,160330.875,174397.2031,186576.8438,196040.8594,203840.8906,211682.125,216005.1094,205408.0659,195388.7026,185816.5795,176881.9705,168431.936
MAR,1171190.125,1356419.25,1416277.875,1392401.5,1337083.75,1401094.625,1424017,1432026.625,1479698.875,1531662.875,1456165.977,1384532.505,1316498.649,1251907.08,1190579.521
MDA,70998.08594,70017.57813,76610.20313,82521.71094,123360.125,97739.80469,105629.6484,114124.3594,114763.8984,116100.4766,110307.6197,104806.0967,99578.95991,94613.27091,89896.21037
MDG,108696.6328,117014.2969,109394.2891,101638.0859,98218.32031,101635.1328,95803.42969,94039.97656,97410.125,101824.8828,117052.7837,132685.5305,148396.055,164170.1562,180199.2784
MDV,14113.8603515625,16048.73828,16540.744140625,17649.927734375,21156.4375,27791.615234375,40691.96875,48614.23438,54380.24219,59680.17188,56755.25628,53998.85747,51391.59359,48918.37491,46573.38517
MEX,7604639.5,8831397,9095415,9370242,9726639,10208794,10410085,10602921,10782283,10933568,10408959.54,9911916.389,9440588.831,8993604.23,8569332.196
MKD,144844.5625,131035.0469,135257.5,142722.9063,154549.3125,147868.3906,153666.0313,130288.5547,134079.7188,138411.6719,131939.4253,125811.014,119999.4323,114483.3507,109253.7192
MLI,35220.33594,40688.10547,47954.58594,45753.12891,47726.16797,46168.42969,49717.74609,60989.21094,66092.63281,72468.17969,74198.8667,76006.45937,77915.4034,79977.31023,82159.59472
MLT,44660.22266,46848.65625,50218.23828,56332.58984,51219.35547,53031.44922,57455.12891,58251.33203,60101.99219,62440.54297,59329.97182,56376.47123,53571.18467,50907.17743,48377.09856
MNE,30731.46875,33427.16406,35042.16406,36385.33984,36623.32422,41270.07031,38199.875,42347.58594,44881.94141,47241.96484,44882.4916,42641.33402,40512.42432,38490.1491,36569.11365
MNG,136814.8281,147267.1719,155398.6875,159563.4531,162362.4531,160673.4688,158434.5938,159916.1719,165549.5625,174303.7656,192243.9543,209723.4206,227692.3586,246874.8197,266772.7057
MOZ,48024.41406,53944.83203,59805.03906,74814.67188,87260.74219,97425.10938,98384.51563,92678.52344,104576.9219,116302.3359,111445.6831,106854.65,102535.9945,98488.94976,94691.20927
MRT,76241.04688,79968.20313,83178.1875,86002.20313,89491.09375,89373.14063,91550.42969,93609.60938,95437.64844,97626.71875,92825.29481,88264.53107,83937.27552,79831.97774,75935.95486
MUS,87515.03906,96305.42969,94158.71875,91935.98438,90234.32031,90822.16406,90996.73438,90862.57813,93840.05469,97370.29688,92941.44403,88748.99883,84806.54989,81095.67539,77602.64062
MWI,40432.27734,38902.15625,34753.80078,34044.06641,29903.865234375,26106.30859,24878.580078125,23415.548828125,23818.27734,24313.982421875,30360.6623,36436.04919,42277.61073,47939.56919,53457.78873
MYS,2180990.25,2325646,2460413,2597711,2762005,2950856.75,3118402.5,3306871,3457181.5,3598296.25,3419727.687,3250132.183,3089139.715,2936250.703,2791081.405
NAM,76270.57031,84842.92188,81754.84375,88633.54688,93139.42969,90935.84375,84975.88281,76553.26563,78457.96094,79837.92969,75979.1702,72318.14669,68847.55336,65556.53469,62434.71396
NER,84230.86719,93141.89844,101522.25,102578.8984,104313.1094,108333.1875,111932.625,120475.3984,124894.4141,130140.1172,131109.3543,132131.9046,134002.2134,135980.3007,138715.9267
NGA,4590671.5,4579608.5,3928328,3689254.75,3570506.75,3288902.5,3066709,3007463,3095350,3203823.5,3114432.869,3032093.998,2956258.244,2886381.431,2822229.897
NLD,4060762.5,4188708.75,4337546.5,4696970,4627473.5,4641059.5,4667429.5,4626151.5,4672138.5,4745302.5,4508876.261,4284323.998,4071043.99,3868428.662,3675949.993
NOR,1343586.625,1396886.375,1538078.625,1589876.875,1639558.125,1644394.875,1670264.25,1643297.75,1679535.625,1723067.25,1641075.168,1563345.34,1489631.965,1419625.623,1353188.893
NPL,193038.5156,206731.2969,214621.2031,224015.9844,231420.5156,257135.7031,270758.9063,295804.125,320078.8125,345289.0625,330308.9094,316188.2819,302908.5448,290342.1876,278484.8902
NZL,492855.4375,515576.9375,554460.8125,598674.5625,650210.875,635209.5625,662688.25,623105.3125,639693,656662.8125,624084.8979,593150.292,563768.7834,535858.1052,509343.068
OMN,438697.2813,480246.8438,493927.375,539747.75,552594.875,638637.0625,695033.9375,704279.8125,746295.3125,785886.75,746626.0235,709329.2013,673900.5223,640243.7721,608270.2495
PAK,1309276,1392917,1456188.875,1472303.875,1531370.25,1590108.375,1590707.5,1615617.625,1676369.625,1718255,1666928.915,1620164.951,1577999.964,1537863.287,1500654.816
PAN,152531.9063,173278.75,203254.4688,236797.1406,280429.4375,328832.0938,380372.2813,445156.625,486019.25,524603.0625,498430.1324,473574.9098,449969.6133,427549.9556,406253.2518
PER,810137.625,866464.75,943863.5625,1022427.188,1101532.125,1188474.375,1266208.25,1351102.375,1407059.125,1466834.875,1393980.323,1324833.867,1259159.565,1196765.846,1137508.697
PHL,1961290.125,2108260.75,2111940.75,2118068.25,2138567,2206549,2293114.25,2361578.25,2562217.75,2753356,2633226.042,2520104.822,2414045.185,2314394.683,2220938.067
POL,2252855.25,2357119.75,2480005.75,2569084.5,2673441.25,2824923,2944387.25,2954101.5,3046456.5,3148161,2992863.711,2845477.668,2705588.176,2572696.985,2446520.954
PRT,2367201.75,2354295.75,2471046.5,2588537.25,2739387.5,2708540.25,2950568.5,2874240,2886604.75,2913985.25,2768472.922,2630246.934,2498945.742,2374214.396,2255723.776
PRY,255069.2188,270300,266756.25,264593.375,262844.0625,266320.0938,266002.75,268069.875,278483.75,288482.9063,480728.4859,671663.1666,853429.5453,1036259.449,1218516.911
QAT,666916.6875,803338.1875,934266.1875,1053231.875,997294.625,1066946.25,1250711.25,1368876.375,1497159.625,1627417.25,1546694.416,1470018.266,1397203.484,1328037.586,1262340.689
ROU,1396356.5,1653618.125,1796223.5,1718680.75,1655918.375,1632861.375,1594981.875,1696858.625,1732949.75,1805810.125,1716360.691,1631431.744,1550785.76,1474191.961,1401445.942
RUS,14651546,14850185,15563808,16298533,17092118,18390230,18726002,19270074,19335736,19423886,18580941.42,17787668.11,17032365.34,16319720.71,15647746.75
RWA,26238.962890625,28498.71875,29684.408203125,32156.82422,33860.67578,34737.40234,41274.77344,42799.13672,46138.53125,50998.07031,57278.1668,64203.25846,71580.09553,79461.09076,87750.23622
SAU,3861117.25,4363696.5,4601948.5,5009194.5,5103766,5953650,6480304.5,6659209,6867913.5,7093384.5,6741809.863,6407971.012,6091067.52,5789982.819,5504005.307
SDN,617112.25,797808.125,492063.5625,451944.4375,400356.125,326759.75,237858.5469,310792.8125,313701.1563,317575.8125,301717.9539,286653.0922,272340.9476,258740.6532,245816.9775
SEN,139264.0781,146880.8438,147832.1719,135345.125,135238.0156,137906.3281,136900.25,142157.0156,151695.5938,161783.9219,167068.7708,172963.9962,179134.3834,185678.3343,192825.4885
SGP,1624696,1737728.5,1796339.75,1867905.875,1924312.625,1976148.75,1999486.375,2027498,2090310.625,2148978,2041991.431,1940398.993,1843905.642,1752242.62,1665176.588
SLE,19438.228515625,23111.419921875,22736.818359375,17569.056640625,16129.2529296875,18948.3125,19388.9375,17063.455078125,16984.845703125,16960.162109375,68918.289,121392.4096,174214.1661,227757.5448,281110.7775
SLV,92151.83594,108011.9531,122390.1172,131115.2031,142051.7188,151442.1719,166433.375,182906.4531,188539.5625,195583.4375,185827.7036,176562.5484,167761.385,159401.2258,151459.9125
SRB,620589.1875,632378.0625,623443,661529.1875,652138.25,568245.6875,614735.0625,609360,613213.4375,621227.6875,595084.9771,570629.4173,547531.7494,525726.3199,505229.3389
STP,416.84710693359375,412.7615966796875,4813.8994140625,4032.007813,6154.4892578125,4870.2216796875,4127.3544921875,3835.266357421875,3822.662109,3792.67626953125,3607.114456,3430.908733,3263.521297,3104.520232,2953.51422
SUR,46661.13672,49890.26563,51129.35938,52392.81641,54132.64844,56398.27344,57531.77734,63196.59766,63465.09375,63765.55469,60592.36695,57577.47161,54713.67903,51993.40007,49409.59107
SVK,557856.5,584258.375,627144.5625,651014.9375,724223.0625,719076.1875,743381.3125,752177.3125,763242.5625,777340.3125,738559.9809,701722.8008,666729.1788,633486.7149,601908.4841
SVN,350882.9063,366662.5,425718.625,453743.0313,448670.125,459790.3125,486670.875,487921.9688,490060.0625,493944.8438,469288.8846,445869.1873,423621.682,402487.5229,382410.7757
SWE,2103405.5,2151252.25,2295762,2497897,2481393.75,2525695.5,2619055.5,2688589.75,2716572.75,2743785,2612379.464,2487887.613,2369709.766,2257430.312,2150820.723
SWZ,48526.60547,53061.28516,47874.64844,45453.51953,43660.03516,38747.30859,34318.27344,31260.45313,31811.658203125,31638.85938,30099.10241,28640.83929,27255.71232,25942.14971,24696.53422
TCD,39623.67969,44179.77734,41049.94531,39674.22656,48228.3125,49935.73047,59662.51563,45017.23438,45990.40625,47048.18359,53262.99741,59088.78454,64929.66732,70908.66795,76883.58355
TGO,39013.95703,44013.87109,41973.49219,42321.71875,42508.21484,43716.66406,43350.65625,44691.95313,46150.67969,47682.10938,49493.78791,51466.26751,53598.53214,55887.69553,58325.76275
THA,4826366,5139581.5,5215776.5,5297230.5,5367139,5460709,5411433.5,5492121.5,5555844,5630091,5358845.146,5101320.794,4856934.322,4624967.183,4404903.036
TJK,242044.375,272940.3438,286661.6875,293210.6875,532515.1875,323714.0938,339823.7813,359015.9688,357354.6563,357036.7188,339185.1938,322226.2741,306115.3274,290809.959,276269.8861
TKM,342621.8438,377651.75,408794.3438,448706.5313,495112.4688,532055.375,571817,614657.75,658779.5,703502.75,668432.1795,635114.7845,603468.7983,573407.2774,544851.4475
TTO,162481.7969,177479.9531,140549.0313,81455.42969,74165.5625,94797.34375,85601.875,74526.82031,76976.57813,78186.58594,74426.97064,70853.78311,67461.45095,64240.45741,61182.97354
TUN,656896.1875,714156.1875,642909.125,566336.4375,497870.0313,439830.1875,384156.8125,340799,346211.0625,351555.2813,334065.5822,317454.5391,301676.5141,286687.4274,272449.339
TUR,5028124,5209663,6185293.5,6979871,8251150,8913575,9337856,9267063,9820866,10235724,9725742.189,9241465.88,8781514.653,8344669.449,7929733.608
TWN,4088598.5,4309665.5,4257215,4259246.5,4259364,4192868.75,4114637.5,4109507.25,4170915.75,4258740,4065666.877,3883562.485,3711111.512,3547561.054,3393009.703
TZA,492416.625,580579.9375,500709.9063,442747.0313,404925.6563,379280.125,346519.9688,318138.9063,354748.8438,397482.6875,506332.0911,615967.0006,726415.8415,838494.8075,953031.9741
UGA,208795.7656,246805.7813,230774.625,216088.0938,204043.6875,186337.0781,172151.0781,158918.3594,170159.2031,182602.9688,299760.8203,417990.7793,538691.2403,659909.6783,783774.8714
