Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,2453597206.70391,2637859217.87709,2615208379.88827,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2481857122.8401,17.2,20.158399999999997,24.222010905599994,30.089069028710043,39.14258977885482,54.46401312481192,84.12730038140877,154.90132707604658,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502,394.8455383752502
AFE,849409658497.578,945439148517.755,952998559818.562,962394917490.248,978708260612.874,898277807343.005,828942805457.755,972998927353.678,1012306000425.25,1009721174054.91,933391782089.617,5.324193548387097,5.607663917793964,5.9221228639432475,6.272838256099641,6.6663232539715125,7.110721911235927,7.616345572225233,8.196432770980783,8.86824787267286,9.50432582047592,10.186026664874833,10.916622722888269,11.69962101953175,12.53878012232466,13.438128183257719,14.401982274826405,15.43496911294763,16.542047266234327,17.728530958237428,19.000115576911366,20.362905013754226,21.82344096385658,23.388734327505798,25.066298864080593,26.86418725978204,28.791029782334252,30.856075708206006,33.06923772121321,35.441139495625514,37.98316669218661
AFG,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,5.324193548387097,5.607663917793964,5.9221228639432475,6.272838256099641,6.6663232539715125,7.110721911235927,7.616345572225233,8.196432770980783,8.86824787267286,9.50432582047592,10.186026664874833,10.916622722888269,11.69962101953175,12.53878012232466,13.438128183257719,14.401982274826405,15.43496911294763,16.542047266234327,17.728530958237428,19.000115576911366,20.362905013754226,21.82344096385658,23.388734327505798,25.066298864080593,26.86418725978204,28.791029782334252,30.856075708206006,33.06923772121321,35.441139495625514,37.98316669218661
AFW,600152668678.288,683888129140.775,739938079289.657,836937363389.634,897415713447.017,771766914345.161,694360980069.456,687849196676.202,770494988148.76,826483769985.129,789801651563.294,5.324193548387097,5.607663917793964,5.9221228639432475,6.272838256099641,6.6663232539715125,7.110721911235927,7.616345572225233,8.196432770980783,8.86824787267286,9.50432582047592,10.186026664874833,10.916622722888269,11.69962101953175,12.53878012232466,13.438128183257719,14.401982274826405,15.43496911294763,16.542047266234327,17.728530958237428,19.000115576911366,20.362905013754226,21.82344096385658,23.388734327505798,25.066298864080593,26.86418725978204,28.791029782334252,30.856075708206006,33.06923772121321,35.441139495625514,37.98316669218661
AGO,83799474069.7315,111789747670.59,128052915766.343,132339109040.232,135966802586.713,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,1.1,1.1121,1.1244676641,1.137111939376065,1.150042175002781,1.1632681450456324,1.1768000728184116,1.1906486569322658,1.204825099174812,1.2188441331578506,1.2330262890031014,1.2473734647544643,1.2618875805409882,1.276570578833848,1.291424424706312,1.3064511060967343,1.3216526340746064,1.3370310431097057,1.3525883913443748,1.36832676086897,1.3842482580005133,1.4003550135645884,1.4166491831805152,1.4331329475498444,1.4498085127482072,1.4666781105205613,1.483743998579873,1.5010084609092744,1.5184738080677356,1.5361423774992948
ALB,11926926615.8015,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15379509891.7196,15585105131.0644,15241458744.8688,8.5,9.2225,10.0730450625,11.087707430811557,12.317079991524295,13.834184586700376,15.74803121848936,18.228036091074515,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664,21.550649088449664
AND,3449925738.86069,3629133574.27783,3188652765.36184,3193512950.02419,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,8.9,9.6921,10.6314680241,11.761749147574607,13.145136577679326,14.873082734137755,17.08516863430282,20.00419850692847,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466,24.005878085974466
ARB,2155345081625.06,2560993268042.28,2795312711245.16,2858382766060.3,2905651795199.09,2544700996740.79,2500823407237.94,2572203993723.9,2867348492603.59,2899029698316.64,2562783626987.73,5.324193548387097,5.607663917793964,5.9221228639432475,6.272838256099641,6.6663232539715125,7.110721911235927,7.616345572225233,8.196432770980783,8.86824787267286,9.50432582047592,10.186026664874833,10.916622722888269,11.69962101953175,12.53878012232466,13.438128183257719,14.401982274826405,15.43496911294763,16.542047266234327,17.728530958237428,19.000115576911366,20.362905013754226,21.82344096385658,23.388734327505798,25.066298864080593,26.86418725978204,28.791029782334252,30.856075708206006,33.06923772121321,35.441139495625514,37.98316669218661
ARE,300189052694.029,360832739558.385,384610125384.033,400218529747.597,414105366758.911,370275469560.166,369255326235.771,390516804016.501,427049432149.345,417989721734.494,349473015336.939,3.9,4.052099999999999,4.216295144099999,4.394066591521612,4.587144803628876,4.79756377812347,5.027729960175093,5.280510645699515,5.559348572492974,5.827164806067824,6.107882827330733,6.402124167408944,6.710540299089839,7.0338140792314165,7.372661260659505,7.7278320768991495,8.10011290324891,8.490327997875792,8.899341326785752,9.328058476710385,9.777428660145072,10.248446816977898,10.74215581736252,11.259648770712285,11.80207144592792,12.370624808217327,12.96656767812424,13.591219518652991,14.245963356660322,14.93224884498242
ARG,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,10.4,11.481600000000002,12.799871385600003,14.438238460479019,16.522865758895573,19.25291668776041,22.959664697618845,28.2311267278897,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138,36.20109189115138
ARM,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,5.7,6.0249,6.3878942001,6.795946123216712,7.257794960313356,7.784550837172855,8.390543154538141,9.09455529881981,9.921664659652725,10.70197164479682,11.543647262317771,12.451517957590932,13.430789760382886,14.487078137941838,15.626440195937457,16.855409411900986,18.18103310033859,19.61091282435526,21.153247985522857,22.81688284195092,24.611357224177414,26.546961239700998,28.63479427984865,30.886828667343476,33.31597830954884,35.93617275106911,38.762437050349064,41.810977938310735,45.09927675308961,48.64618968378871
