Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bermuda,BMU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,5756956126,5541487978,5247495466,5232817773,5039147650,5078227736,5044853304,5227044137,5204421422,5228356032,4896664930
Bolivia,BOL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,66449395947,69907483850,73488337955,78482613664,82768211466,86788418466,90489007926,94285208488,98267460721,1.00446E+11,91576909124
Brazil,BRA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.91089E+12,3.02658E+12,3.08473E+12,3.17742E+12,3.19343E+12,3.0802E+12,2.97929E+12,3.01871E+12,3.07255E+12,3.11591E+12,2.98943E+12
Barbados,BRB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4400289098,4370662427,4350749419,4289553345,4284210831,4389118386,4497911405,4519281463,4493054574,4488735151,3636795228
Brunei Darussalam,BRN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,26331283315,27317473701,27566838985,26980760126,26303987537,26200774965,25551541320,25891019750,25904544646,26906819939,27211828479
Bhutan,BTN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,5614656382,6062852899,6373174014,6508283559,6884234277,7341501097,7938147353,8307416844,8561219215,9053931934,8141626868
Botswana,BWA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,26083179980,27660784984,28893389525,32170881397,33505735636,31589984034,33812938657,35166622662,36566393289,37660729503,34462243851
Central African Republic,CAF,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,5270049770,5491108086,5768615578,3669302318,3672277041,3831548140,4013558817,4195263791,4354240946,4484868174,4522048180
Canada,CAN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.52551E+12,1.57352E+12,1.60125E+12,1.63854E+12,1.68557E+12,1.69668E+12,1.71367E+12,1.76576E+12,1.8148E+12,1.84891E+12,1.75216E+12
Central Europe and the Baltics,CEB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.51825E+12,2.59533E+12,2.61678E+12,2.65163E+12,2.73119E+12,2.83791E+12,2.92703E+12,3.07206E+12,3.21035E+12,3.34258E+12,3.21607E+12
Switzerland,CHE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,5.15033E+11,5.24924E+11,5.31314E+11,5.40993E+11,5.5423E+11,5.63418E+11,5.74941E+11,5.84052E+11,6.01089E+11,6.08368E+11,5.93811E+11
Channel Islands,CHI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
Chile,CHL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3.62792E+11,3.84961E+11,4.05436E+11,4.21836E+11,4.29289E+11,4.39179E+11,4.46693E+11,4.51985E+11,4.68771E+11,4.73186E+11,4.45876E+11
China,CHN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.1885E+13,1.30201E+13,1.40439E+13,1.51346E+13,1.62585E+13,1.74033E+13,1.85952E+13,1.9887E+13,2.12294E+13,2.24925E+13,2.30205E+13
Cote d'Ivoire,CIV,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,77577742959,73411471202,79005727589,87506912264,95708060030,1.02593E+11,1.09959E+11,1.18051E+11,1.26185E+11,1.34049E+11,1.36674E+11
Cameroon,CMR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,65570178137,67785932998,70921695834,74464609829,78723850093,83185093671,86958198354,90037541682,93598989465,96851610488,97328037838
"Congo, Dem. Rep.",COD,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,55891897117,59734281098,63967589236,69393292416,75965037128,81218906049,83167671599,86267287184,91289010441,95291603469,96945315647
"Congo, Rep.",COG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,22091667238,22578991603,24824958475,24648096919,26303630551,25369698641,22634023588,21642080500,20602102448,20584202114,18948901358
Colombia,COL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,5.32873E+11,5.69896E+11,5.92194E+11,6.22597E+11,6.50608E+11,6.69839E+11,6.83821E+11,6.93117E+11,7.10891E+11,7.34216E+11,6.8432E+11
Comoros,COM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1985131106,2066518443,2132652673,2228619361,2275420511,2300817403,2377220187,2467927827,2557822716,2602720902,2599367673
Cabo Verde,CPV,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3054562041,3175794137,3210153634,3235924671,3255703052,3288483544,3443232724,3570702549,3732496854,3944045537,3360981311
Costa Rica,CRI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,77039150480,80431306952,84358439807,86462985573,89525599525,92795146907,96696554845,1.00717E+11,1.03352E+11,1.05684E+11,1.01389E+11
Caribbean small states,CSS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.10572E+11,1.12115E+11,1.13591E+11,1.14711E+11,1.15435E+11,1.16465E+11,1.1499E+11,1.15121E+11,1.17408E+11,1.18242E+11,1.1025E+11
Cuba,CUB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
Curacao,CUW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4244483367,4270485436,4264553003,4230687899,4182507191,4194163627,4152785279,4080536557,3992146786,3856413799,3146833660
Cayman Islands,CYM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3790365470,3834677200,3881834283,3931495793,4035858449,4150199252,4284664749,4421090333,4606525933,4782361653,4460494968
Cyprus,CYP,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,31765044173,31892561112,30793281272,28775373453,28248982925,29204668535,31089699773,32909236998,34782707773,36620343406,34705470007
Czech Republic,CZE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3.50716E+11,3.5689E+11,3.54088E+11,3.53926E+11,3.61932E+11,3.81434E+11,3.91112E+11,4.11328E+11,4.24485E+11,4.37345E+11,4.11988E+11
Germany,DEU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3.84345E+12,3.99432E+12,4.01103E+12,4.02858E+12,4.1176E+12,4.17903E+12,4.27222E+12,4.38673E+12,4.43437E+12,4.48117E+12,4.2764E+12
Djibouti,DJI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,3558298198,3809568964,4102756652,4375698707,4612122077,4999893743,5388410350,5415352401
Dominica,DMA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,850790928.6,848888979.6,839899243.3,831500749.5,868485465.2,845113575.3,866718860.9,807786936.2,825673804.7,888188801.7,740705836.9
Denmark,DNK,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.81963E+11,2.85732E+11,2.8638E+11,2.89053E+11,2.93733E+11,3.00614E+11,3.10372E+11,3.1913E+11,3.25479E+11,3.32362E+11,3.25508E+11
Dominican Republic,DOM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.23927E+11,1.27811E+11,1.31284E+11,1.37684E+11,1.47391E+11,1.57601E+11,1.68096E+11,1.75941E+11,1.88226E+11,1.97735E+11,1.84447E+11
Algeria,DZA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3.94698E+11,4.06144E+11,4.19953E+11,4.31711E+11,4.48116E+11,4.64697E+11,4.79567E+11,4.85801E+11,4.91145E+11,4.96057E+11,4.70758E+11
East Asia & Pacific (excluding high income),EAP,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.67319E+13,1.81007E+13,1.94432E+13,2.08117E+13,2.22083E+13,2.36453E+13,2.51635E+13,2.68129E+13,2.85254E+13,3.01453E+13,3.04095E+13
Early-demographic dividend,EAR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.06027E+13,2.16593E+13,2.26005E+13,2.3652E+13,2.47656E+13,2.60191E+13,2.73922E+13,2.87412E+13,2.99251E+13,3.07142E+13,2.93679E+13
East Asia & Pacific,EAS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.62751E+13,2.78287E+13,2.93794E+13,3.10037E+13,3.25851E+13,3.42069E+13,3.59091E+13,3.7828E+13,3.97411E+13,4.14876E+13,4.14297E+13
Europe & Central Asia (excluding high income),ECA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,7.15095E+12,7.56593E+12,7.84176E+12,8.13094E+12,8.25714E+12,8.29411E+12,8.43371E+12,8.76502E+12,9.04739E+12,9.26052E+12,9.09613E+12
Europe & Central Asia,ECS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.73403E+13,2.81081E+13,2.83035E+13,2.86416E+13,2.91388E+13,2.96702E+13,3.02448E+13,3.11643E+13,3.19155E+13,3.2546E+13,3.0907E+13
Ecuador,ECU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.55229E+11,1.67443E+11,1.7689E+11,1.8564E+11,1.92674E+11,1.92864E+11,1.90499E+11,1.95011E+11,1.97525E+11,1.97549E+11,1.82239E+11
"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,8.55757E+11,8.70858E+11,8.90245E+11,9.09701E+11,9.36227E+11,9.77159E+11,1.01963E+12,1.06227E+12,1.11872E+12,1.18089E+12,1.22304E+12
Euro area,EMU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.43333E+13,1.45612E+13,1.44247E+13,1.43858E+13,1.4586E+13,1.48869E+13,1.51664E+13,1.55628E+13,1.58494E+13,1.60991E+13,1.50495E+13
Eritrea,ERI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
Spain,ESP,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.73823E+12,1.72407E+12,1.67305E+12,1.64903E+12,1.67185E+12,1.73597E+12,1.78859E+12,1.84178E+12,1.88393E+12,1.92322E+12,1.71507E+12
Estonia,EST,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,34639315873,37155198683,38354642990,38914018087,40085861825,40828660880,42117035737,44556473263,46398357576,48298993283,46873656514
Ethiopia,ETH,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.10341E+11,1.22675E+11,1.33284E+11,1.47388E+11,1.62506E+11,1.79395E+11,1.96318E+11,2.15094E+11,2.29755E+11,2.48972E+11,2.64052E+11
European Union,EUU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.72226E+13,1.75333E+13,1.74086E+13,1.7408E+13,1.76939E+13,1.81161E+13,1.84948E+13,1.90417E+13,1.94658E+13,1.98503E+13,1.86661E+13
Fragile and conflict affected situations,FCS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.93225E+12,2.9511E+12,3.15905E+12,3.32171E+12,3.45722E+12,3.56802E+12,3.67866E+12,3.77161E+12,3.88485E+12,4.00726E+12,3.83073E+12
Finland,FIN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.46042E+11,2.5231E+11,2.48784E+11,2.46541E+11,2.45641E+11,2.46977E+11,2.5392E+11,2.62026E+11,2.65019E+11,2.68254E+11,2.60742E+11
Fiji,FJI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,9069261600,9314598098,9446056361,9893253402,10447623329,10917891687,11184905324,11783674124,12232909139,12178403817,10264956881
France,FRA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.74076E+12,2.80085E+12,2.80962E+12,2.82582E+12,2.85284E+12,2.88459E+12,2.91619E+12,2.98301E+12,3.03864E+12,3.09465E+12,2.85155E+12
Faroe Islands,FRO,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,376635383.3,388644684,381389388.3,367355144.4,358884758.6,375471995.8,378851921.2,389013434.2,389836795.1,394416594.8,387453504.5
Gabon,GAB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,23412788815,25073166049,26389777283,27877817392,29080735300,30208747765,30840546267,30986311651,31245951094,32471045092,31874304912
United Kingdom,GBR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.64546E+12,2.68402E+12,2.72347E+12,2.77495E+12,2.85795E+12,2.9329E+12,2.99929E+12,3.06331E+12,3.11388E+12,3.16594E+12,2.86847E+12
Georgia,GEO,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,36870034736,39598417257,42120443741,43645753625,45580100614,46957625779,48322420425,50662483514,53116027003,55762453627,51992666509
Ghana,GHA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,94866754254,1.08193E+11,1.18247E+11,1.26894E+11,1.30518E+11,1.33286E+11,1.37782E+11,1.48983E+11,1.5822E+11,1.68516E+11,1.69215E+11
Gibraltar,GIB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
Guinea,GIN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,19067508411,20137597609,21328794682,22170361479,22989898168,23869473663,26452299047,29176885980,31032095920,32784222538,35075367591
"Gambia, The",GMB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4208136816,3865996599,4068635488,4185517979,4126611731,4294072681,4377521957,4588632823,4920615376,5223411936,5212151511
Guinea-Bissau,GNB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2660349037,2875432397,2826185355,2918203244,2946351087,3127082707,3322925819,3519615667,3564798265,3725214187,3635809047
Equatorial Guinea,GNQ,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,32774711278,34912908412,37815173746,36252197551,36402668207,33086370154,30169337714,28459489607,26684599028,25089143689,23861442452
Greece,GRC,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3.74714E+11,3.36683E+11,3.12823E+11,3.04953E+11,3.06403E+11,3.05802E+11,3.04313E+11,3.07636E+11,3.12769E+11,3.1841E+11,2.89692E+11
Grenada,GRD,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1424800801,1435700197,1419115796,1452485151,1559156772,1659615484,1721679317,1798099078,1875406647,1889201814,1630235117
Greenland,GRL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
Guatemala,GTM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.04609E+11,1.08965E+11,1.12206E+11,1.16352E+11,1.21523E+11,1.26495E+11,1.29883E+11,1.33883E+11,1.38331E+11,1.4368E+11,1.41497E+11
Guam,GUM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
Guyana,GUY,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,7336056919,7727756738,8143790064,8441323822,8583646883,8642661275,8971766802,9306806134,9720122660,10240404611,14692887062
High income,HIC,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,5.11617E+13,5.22452E+13,5.29455E+13,5.3731E+13,5.48985E+13,5.62794E+13,5.7324E+13,5.86893E+13,6.00755E+13,6.11386E+13,5.83503E+13
"Hong Kong SAR, China",HKG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,3.6077E+11,3.7814E+11,3.84569E+11,3.96497E+11,4.0745E+11,4.17179E+11,4.26229E+11,4.42388E+11,4.5498E+11,4.47337E+11,4.20133E+11
Honduras,HND,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,40480895062,42033616973,43769053768,44990893059,46366750814,48147271125,50021631004,52444135530,54460609798,55905485859,50893693122
Heavily indebted poor countries (HIPC),HPC,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.39459E+12,1.45297E+12,1.49868E+12,1.58341E+12,1.67477E+12,1.75113E+12,1.83131E+12,1.92162E+12,2.0022E+12,2.08808E+12,2.09267E+12
Croatia,HRV,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.05238E+11,1.05149E+11,1.02756E+11,1.02383E+11,1.02028E+11,1.04605E+11,1.083E+11,1.11998E+11,1.15246E+11,1.19259E+11,1.09599E+11
Haiti,HTI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,28862071789,30333521842,30485924858,31804375293,32352226522,33181255185,33782654843,34630691148,35208265608,34615148898,33457835490
Hungary,HUN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.44861E+11,2.49416E+11,2.46279E+11,2.50727E+11,2.61317E+11,2.70995E+11,2.76935E+11,2.88756E+11,3.04232E+11,3.18087E+11,3.03214E+11
IBRD only,IBD,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4.23961E+13,4.49098E+13,4.71865E+13,4.95643E+13,5.18124E+13,5.40034E+13,5.65282E+13,5.94012E+13,6.21998E+13,6.4537E+13,6.308E+13
IDA & IBRD total,IBT,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4.64561E+13,4.91658E+13,5.16267E+13,5.42565E+13,5.67785E+13,5.91934E+13,6.1928E+13,6.50507E+13,6.81205E+13,7.06994E+13,6.92458E+13
IDA total,IDA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4.07286E+12,4.26879E+12,4.45313E+12,4.70633E+12,4.98164E+12,5.20645E+12,5.41648E+12,5.66666E+12,5.93883E+12,6.1815E+12,6.18626E+12
IDA blend,IDB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.94946E+12,2.03763E+12,2.12973E+12,2.244E+12,2.37077E+12,2.46499E+12,2.5201E+12,2.60159E+12,2.70567E+12,2.76629E+12,2.73292E+12
Indonesia,IDN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.00402E+12,2.12766E+12,2.25596E+12,2.38133E+12,2.50055E+12,2.62249E+12,2.75448E+12,2.89413E+12,3.04388E+12,3.19662E+12,3.13047E+12
IDA only,IDX,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.12928E+12,2.23767E+12,2.32994E+12,2.46965E+12,2.61886E+12,2.75049E+12,2.90814E+12,3.07922E+12,3.24911E+12,3.43446E+12,3.4745E+12
Isle of Man,IMN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
India,IND,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,5.22716E+12,5.50113E+12,5.80129E+12,6.17177E+12,6.62911E+12,7.15919E+12,7.75027E+12,8.27693E+12,8.81767E+12,9.17404E+12,8.50876E+12
Not classified,INX,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,
Ireland,IRL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.41532E+11,2.44113E+11,2.43985E+11,2.47077E+11,2.68606E+11,3.36231E+11,3.43098E+11,3.73771E+11,4.07523E+11,4.27561E+11,4.52645E+11
"Iran, Islamic Rep.",IRN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,1.01834E+12,1.04529E+12,9.67469E+11,9.65591E+11,1.01004E+12,9.96703E+11,1.13022E+12,1.17267E+12,1.102E+12,1.02724E+12,1.06204E+12
